,race,LSAT,UGPA,ZFYA,fairScore
99,0,40.0,3.7,-0.43,41.130447198770625
100,0,42.0,2.5,-0.41,43.325316413348574
101,0,42.0,2.7,-0.02,43.325316413348574
102,0,40.0,3.7,0.21,41.130447198770625
103,0,38.0,3.5,1.61,38.91366637980439
104,0,40.0,3.3,-0.96,41.130447198770625
105,0,39.0,3.5,0.98,38.91366637980439
106,0,36.0,3.6,-0.58,36.757264183554916
107,0,38.0,3.6,-0.28,38.91366637980439
108,0,36.0,3.0,-1.19,36.757264183554916
109,0,39.0,3.2,-1.34,38.91366637980439
110,0,37.0,3.9,0.55,36.757264183554916
111,0,31.5,2.7,0.58,32.489412194785075
112,0,41.0,4.0,2.44,41.130447198770625
113,0,41.0,3.0,-1.45,41.130447198770625
114,0,36.0,3.3,1.04,36.757264183554916
115,0,35.0,3.8,-1.11,34.57730321089646
116,0,39.0,3.7,-1.58,38.91366637980439
117,0,37.0,3.8,0.4,36.757264183554916
118,0,37.0,3.1,-0.51,36.757264183554916
119,0,36.0,3.8,-0.66,36.757264183554916
120,0,40.0,3.3,-0.77,41.130447198770625
121,0,45.0,3.3,0.64,45.28817965263296
122,0,35.0,2.6,0.02,34.57730321089646
123,0,37.0,3.6,-0.02,36.757264183554916
124,0,40.0,3.8,0.64,41.130447198770625
125,0,39.0,3.4,0.4,38.91366637980439
126,0,33.0,3.9,0.59,32.489412194785075
127,0,40.0,3.6,0.55,41.130447198770625
128,0,38.0,3.8,0.55,38.91366637980439
129,0,41.0,3.3,0.64,41.130447198770625
130,0,34.0,2.9,-0.25,34.57730321089646
131,0,40.0,3.1,1.08,41.130447198770625
132,2,38.0,3.3,-0.02,38.92157329601039
133,0,40.0,3.2,1.89,41.130447198770625
134,0,32.5,3.4,-0.17,32.489412194785075
135,0,41.0,3.4,0.17,41.130447198770625
136,0,37.0,3.5,-0.13,36.757264183554916
137,0,41.0,3.3,1.51,41.130447198770625
138,0,39.0,3.6,-0.66,38.91366637980439
139,0,38.0,3.5,0.42,38.91366637980439
140,0,42.0,3.1,0.68,43.325316413348574
141,0,37.0,3.6,1.27,36.757264183554916
142,3,32.0,2.8,-1.28,33.544646013045195
143,0,39.0,3.6,-0.22,38.91366637980439
144,0,32.0,2.8,-1.09,32.489412194785075
145,0,41.0,3.1,-0.51,41.130447198770625
146,0,36.0,3.7,0.17,36.757264183554916
147,0,38.0,3.4,-1.19,38.91366637980439
148,0,34.0,3.3,1.02,34.57730321089646
149,0,38.0,3.6,0.36,38.91366637980439
150,0,43.0,2.9,0.59,43.325316413348574
151,0,35.0,3.7,0.64,34.57730321089646
152,2,37.0,3.6,-0.77,36.970070962174326
153,0,37.0,3.9,1.36,36.757264183554916
154,0,40.0,3.2,0.59,41.130447198770625
155,0,45.0,3.2,1.57,45.28817965263296
156,0,39.5,3.3,0.55,41.130447198770625
157,0,40.0,3.3,2.15,41.130447198770625
158,0,38.0,3.4,-1.0,38.91366637980439
159,0,40.0,3.4,1.36,41.130447198770625
160,5,32.5,2.8,-0.92,33.31462131150935
161,0,36.0,3.7,0.1,36.757264183554916
162,0,30.0,3.5,-1.75,30.41726256161723
163,0,37.0,3.7,0.74,36.757264183554916
164,6,35.5,3.0,-1.73,36.785484954174954
165,2,31.0,3.4,-0.23,30.6935219105224
166,0,36.0,2.7,-0.36,36.757264183554916
167,0,35.0,2.9,1.25,34.57730321089646
168,0,28.5,3.2,0.57,28.36397895081746
169,0,39.0,2.4,0.16,38.91366637980439
170,0,41.0,3.9,1.17,41.130447198770625
171,0,29.0,3.5,0.2,28.36397895081746
172,0,36.5,3.1,-0.56,36.757264183554916
173,0,39.0,3.8,-0.32,38.91366637980439
174,0,36.0,3.0,0.36,36.757264183554916
175,0,36.0,2.9,-0.8,36.757264183554916
176,0,36.0,2.9,0.89,36.757264183554916
177,0,37.0,2.8,0.77,36.757264183554916
178,0,38.0,3.2,0.48,38.91366637980439
179,0,31.5,3.1,0.36,32.489412194785075
180,0,37.0,3.1,0.0,36.757264183554916
181,0,26.75,3.3,-0.41,26.35008146270513
182,3,32.0,3.7,-0.85,33.544646013045195
183,0,31.0,3.0,0.44,30.41726256161723
184,0,32.75,3.1,0.2,32.489412194785075
185,0,35.0,3.2,-0.28,34.57730321089646
186,0,31.0,3.2,2.48,30.41726256161723
187,0,33.0,3.0,-0.4,32.489412194785075
188,0,33.0,3.1,0.61,32.489412194785075
189,0,34.5,2.9,0.52,34.57730321089646
190,0,39.0,4.1,1.25,38.91366637980439
191,0,34.0,3.1,-0.6,34.57730321089646
192,0,34.0,2.8,1.51,34.57730321089646
193,0,37.0,2.8,-0.23,36.757264183554916
194,0,25.0,3.2,-0.64,24.314810269694096
195,0,33.0,2.9,0.69,32.489412194785075
196,4,29.0,3.1,-1.45,28.866026768202453
197,0,34.0,3.0,-0.24,34.57730321089646
198,0,34.0,2.7,1.51,34.57730321089646
199,0,30.5,3.0,-1.09,30.41726256161723
200,0,33.0,3.3,0.89,32.489412194785075
201,0,34.0,2.9,-1.93,34.57730321089646
202,0,30.0,3.4,0.73,30.41726256161723
203,0,38.0,2.4,-0.2,38.91366637980439
204,0,32.5,3.1,0.93,32.489412194785075
205,0,40.0,4.0,1.17,41.130447198770625
206,0,42.0,4.0,0.97,43.325316413348574
207,0,35.0,3.2,0.27,34.57730321089646
208,0,29.0,3.4,-0.52,28.36397895081746
209,0,35.0,2.9,-0.4,34.57730321089646
210,0,32.0,3.1,-1.17,32.489412194785075
211,0,27.0,2.3,-1.01,26.35008146270513
212,0,38.0,3.0,0.55,38.91366637980439
213,0,31.0,2.7,-0.2,30.41726256161723
214,0,38.0,3.0,0.15,38.91366637980439
215,0,28.5,3.9,0.48,28.36397895081746
216,0,34.0,2.6,0.0,34.57730321089646
217,0,31.0,3.0,0.0,30.41726256161723
218,0,33.0,2.9,-0.2,32.489412194785075
219,0,35.0,2.7,-1.05,34.57730321089646
220,0,32.5,2.8,0.08,32.489412194785075
221,0,36.0,2.6,-0.72,36.757264183554916
222,0,37.0,3.4,0.95,36.757264183554916
223,0,33.0,3.2,-0.4,32.489412194785075
224,0,37.0,2.9,0.24,36.757264183554916
225,0,25.5,2.8,-0.08,26.35008146270513
226,0,38.0,2.6,1.25,38.91366637980439
227,0,34.0,2.7,-0.12,34.57730321089646
228,0,35.0,2.9,1.94,34.57730321089646
229,0,29.5,2.8,0.24,30.41726256161723
230,0,41.0,3.0,0.2,41.130447198770625
231,0,35.0,3.2,-1.13,34.57730321089646
232,0,34.0,2.9,-2.06,34.57730321089646
233,0,42.0,2.6,1.57,43.325316413348574
234,0,30.5,3.1,0.87,30.41726256161723
235,0,41.0,2.5,0.9,41.130447198770625
236,0,31.5,3.5,0.2,32.489412194785075
237,0,35.0,3.7,0.44,34.57730321089646
238,0,31.0,3.3,0.85,30.41726256161723
239,0,39.0,3.1,1.19,38.91366637980439
240,0,39.0,2.9,0.98,38.91366637980439
241,0,40.0,2.6,0.16,41.130447198770625
242,0,40.0,3.8,1.85,41.130447198770625
243,0,33.0,3.2,-0.24,32.489412194785075
244,0,32.0,3.3,0.36,32.489412194785075
245,0,39.0,3.3,0.72,38.91366637980439
246,0,39.0,2.7,0.44,38.91366637980439
247,0,33.0,3.3,0.24,32.489412194785075
248,0,38.0,3.7,0.11,38.91366637980439
249,0,40.0,3.6,-0.09,41.130447198770625
250,0,38.0,3.4,-0.51,38.91366637980439
251,0,33.0,3.0,-0.82,32.489412194785075
252,0,40.0,3.2,1.73,41.130447198770625
253,6,42.0,3.3,1.22,43.327140570486016
254,3,29.0,2.8,-1.89,29.368116621576966
255,0,33.0,3.5,0.05,32.489412194785075
256,0,40.0,3.4,-1.06,41.130447198770625
257,0,36.0,3.1,0.53,36.757264183554916
258,3,25.0,2.8,-2.22,25.203060752685662
259,0,39.0,3.6,0.18,38.91366637980439
260,0,41.0,3.7,0.9,41.130447198770625
261,0,36.0,3.9,-0.12,36.757264183554916
262,0,44.0,3.2,0.75,45.28817965263296
263,0,42.0,3.5,-1.17,43.325316413348574
264,0,46.0,3.3,-2.08,47.13221707128243
265,0,40.0,2.2,1.04,41.130447198770625
266,0,41.0,3.8,1.16,41.130447198770625
267,6,41.0,3.4,0.5,41.07243325878752
268,6,32.0,2.8,-1.13,32.94760690169464
269,0,37.0,3.4,-1.02,36.757264183554916
270,0,40.0,3.5,-0.12,41.130447198770625
271,0,36.0,3.7,0.77,36.757264183554916
272,0,42.0,3.5,0.83,43.325316413348574
273,0,35.5,2.9,0.06,36.757264183554916
274,0,37.0,3.9,0.37,36.757264183554916
275,0,48.0,2.3,0.8,49.0
276,0,37.0,3.1,0.14,36.757264183554916
277,0,35.0,3.9,0.14,34.57730321089646
278,2,33.5,3.2,0.14,35.0
279,0,47.0,3.9,-0.2,47.13221707128243
280,0,41.0,2.8,0.33,41.130447198770625
281,0,40.0,3.5,0.65,41.130447198770625
282,0,44.0,3.4,-0.33,45.28817965263296
283,0,38.0,3.0,-0.02,38.91366637980439
284,0,39.0,3.6,0.51,38.91366637980439
285,3,28.0,3.4,-2.37,29.368116621576966
286,0,46.0,2.5,-0.27,47.13221707128243
287,0,42.0,3.0,-0.4,43.325316413348574
288,4,34.0,2.8,-0.26,35.0820453505715
289,0,34.0,3.7,-0.96,34.57730321089646
290,0,38.0,3.3,0.39,38.91366637980439
291,0,33.0,3.9,0.46,32.489412194785075
292,0,38.0,3.3,-0.13,38.91366637980439
293,0,34.0,3.9,-0.23,34.57730321089646
294,0,37.0,3.7,0.68,36.757264183554916
295,2,40.0,2.8,0.4,41.0263556823405
296,0,45.0,3.2,0.43,45.28817965263296
297,0,41.0,3.2,-0.28,41.130447198770625
298,0,36.0,3.7,0.89,36.757264183554916
299,0,45.0,3.5,-0.21,45.28817965263296
300,4,38.0,3.4,1.02,39.179041869968145
301,0,44.0,4.1,1.7,45.28817965263296
302,0,41.0,3.5,-0.1,41.130447198770625
303,0,39.5,3.5,-0.52,41.130447198770625
304,0,41.0,3.4,0.24,41.130447198770625
305,0,44.0,3.6,1.62,45.28817965263296
306,0,40.5,3.3,1.95,41.130447198770625
307,0,42.0,3.6,1.65,43.325316413348574
308,0,40.0,2.0,1.2,41.130447198770625
309,0,45.0,3.4,1.87,45.28817965263296
310,0,40.0,3.8,0.3,41.130447198770625
311,0,36.0,3.7,0.05,36.757264183554916
312,0,34.0,3.2,-0.55,34.57730321089646
313,0,37.0,3.5,-1.17,36.757264183554916
314,3,23.0,2.8,-2.23,22.950996334913793
315,0,38.0,3.4,-0.3,38.91366637980439
316,0,40.0,3.5,-0.06,41.130447198770625
317,0,39.0,3.4,0.57,38.91366637980439
318,0,40.0,3.2,0.82,41.130447198770625
319,0,33.0,2.9,0.19,32.489412194785075
320,0,38.0,3.8,1.16,38.91366637980439
321,0,43.0,3.8,1.14,43.325316413348574
322,0,38.0,3.5,0.48,38.91366637980439
323,0,35.0,3.3,-0.26,34.57730321089646
324,0,39.0,3.3,1.16,38.91366637980439
325,0,40.0,3.8,2.25,41.130447198770625
326,0,33.0,3.3,0.6,32.489412194785075
327,0,37.0,3.2,1.91,36.757264183554916
328,2,35.0,2.8,0.96,35.0
329,0,30.0,2.6,-0.26,30.41726256161723
330,0,38.0,3.2,0.56,38.91366637980439
331,7,31.0,3.7,0.8,31.17260254356586
332,0,40.0,3.0,1.45,41.130447198770625
333,0,34.0,3.7,0.43,34.57730321089646
334,0,42.0,3.9,0.5,43.325316413348574
335,0,35.5,2.8,1.78,36.757264183554916
336,0,32.5,2.7,1.02,32.489412194785075
337,0,30.0,3.0,-0.33,30.41726256161723
338,4,37.0,2.5,0.23,37.16422603751931
339,0,35.0,3.7,0.0,34.57730321089646
340,0,35.0,3.5,0.6,34.57730321089646
341,0,37.0,3.4,0.63,36.757264183554916
342,3,28.0,2.7,-0.59,29.368116621576966
343,4,30.0,2.9,-0.99,31.00601438949191
344,0,38.0,3.0,0.92,38.91366637980439
345,0,33.0,2.7,-0.24,32.489412194785075
346,0,47.0,2.9,0.56,47.13221707128243
347,0,38.0,2.8,-0.79,38.91366637980439
348,7,34.0,2.8,-0.86,35.135879747367284
349,1,34.0,3.1,-0.56,35.457271342452515
350,0,34.0,3.4,-0.43,34.57730321089646
351,3,29.0,2.5,-2.01,29.368116621576966
352,0,40.0,3.2,-0.36,41.130447198770625
353,0,30.0,2.7,0.06,30.41726256161723
354,2,26.0,2.5,-0.5,26.493419086395843
355,0,33.0,3.8,1.58,32.489412194785075
356,0,36.0,2.3,1.65,36.757264183554916
357,0,35.0,2.9,-0.13,34.57730321089646
358,0,30.0,2.9,-0.43,30.41726256161723
359,0,27.0,2.7,-0.72,26.35008146270513
360,0,38.0,3.2,0.63,38.91366637980439
361,0,28.5,2.1,-1.88,28.36397895081746
362,0,37.0,3.3,-0.13,36.757264183554916
363,0,39.0,2.4,-0.1,38.91366637980439
364,0,41.0,2.4,1.61,41.130447198770625
365,4,33.0,2.3,0.99,33.14032346612947
366,0,45.0,2.6,-1.05,45.28817965263296
367,0,33.0,3.4,-0.03,32.489412194785075
368,4,27.0,3.6,-0.1,26.76839296436412
369,0,40.0,3.7,1.75,41.130447198770625
370,0,36.0,3.1,-0.43,36.757264183554916
371,0,36.0,3.2,1.29,36.757264183554916
372,2,20.0,3.2,-1.87,20.04860124056544
373,0,36.0,3.8,-0.99,36.757264183554916
374,0,36.0,3.3,-0.12,36.757264183554916
375,0,42.0,3.4,0.99,43.325316413348574
376,0,40.0,3.6,0.73,41.130447198770625
377,7,26.0,3.6,-1.15,26.555676895109016
378,0,37.0,3.8,0.6,36.757264183554916
379,0,45.0,3.6,1.35,45.28817965263296
380,2,23.0,3.2,-0.1,22.02536014055032
381,0,30.5,2.4,-0.89,30.41726256161723
382,0,38.0,3.0,-0.69,38.91366637980439
383,3,25.0,2.5,-0.89,25.203060752685662
384,0,35.0,3.0,0.68,34.57730321089646
385,3,20.0,3.0,-1.02,20.782417822839324
386,2,28.0,2.8,-1.38,28.499630728581234
387,0,38.0,3.2,0.07,38.91366637980439
388,7,20.5,2.8,-1.19,20.674374231289917
389,0,44.0,3.0,1.45,45.28817965263296
390,0,29.0,2.9,1.16,28.36397895081746
391,0,45.0,2.6,-0.03,45.28817965263296
392,0,36.0,2.8,-1.19,36.757264183554916
393,3,21.0,3.0,-1.32,20.782417822839324
394,2,28.0,2.2,-0.79,28.499630728581234
395,0,35.0,3.3,0.9,34.57730321089646
396,0,36.0,3.1,-0.59,36.757264183554916
397,0,37.0,3.4,0.43,36.757264183554916
398,7,29.0,3.2,-0.89,28.85173443816748
399,0,33.0,3.4,1.62,32.489412194785075
400,0,36.0,3.2,0.27,36.757264183554916
401,0,42.0,3.4,0.92,43.325316413348574
402,2,29.5,2.7,-1.38,30.6935219105224
403,2,27.0,3.1,-1.68,26.493419086395843
404,0,37.0,3.3,0.03,36.757264183554916
405,7,22.0,3.3,-0.76,23.651325200279025
406,0,33.0,3.3,0.2,32.489412194785075
407,6,27.0,3.3,-0.03,26.636681070820824
408,2,28.0,3.3,-1.32,28.499630728581234
409,0,35.0,3.1,-0.14,34.57730321089646
410,0,28.0,3.7,0.0,28.36397895081746
411,2,34.0,2.6,-0.3,35.0
412,0,22.5,3.3,-1.45,22.28700774327646
413,0,41.0,3.6,0.05,41.130447198770625
414,5,33.0,3.1,-0.24,33.31462131150935
415,0,40.0,3.0,-0.1,41.130447198770625
416,0,40.5,3.5,0.58,41.130447198770625
417,0,40.0,3.7,-0.43,41.130447198770625
418,3,28.0,3.3,1.37,29.368116621576966
419,0,41.0,2.4,-0.59,41.130447198770625
420,0,47.0,2.8,-0.14,47.13221707128243
421,0,38.0,2.5,-1.69,38.91366637980439
422,0,26.25,3.4,-1.73,26.35008146270513
423,0,43.0,3.3,0.87,43.325316413348574
424,0,34.0,3.4,-1.36,34.57730321089646
425,0,40.0,3.6,-0.08,41.130447198770625
426,0,37.0,3.4,-0.51,36.757264183554916
427,0,35.0,2.8,-0.96,34.57730321089646
428,2,44.0,3.7,0.34,45.29759027599206
429,0,38.0,2.4,1.38,38.91366637980439
430,0,44.0,3.6,1.88,45.28817965263296
431,6,32.0,3.9,0.13,32.94760690169464
432,0,43.0,4.0,0.87,43.325316413348574
433,0,42.0,3.4,0.67,43.325316413348574
434,0,46.0,3.0,0.27,47.13221707128243
435,0,43.0,3.5,0.58,43.325316413348574
436,0,43.0,3.0,0.54,43.325316413348574
437,0,41.0,3.7,0.75,41.130447198770625
438,0,42.0,3.9,-1.21,43.325316413348574
439,0,28.0,2.8,-0.76,28.36397895081746
440,1,27.5,3.5,-1.54,29.0
441,0,46.0,3.3,-0.76,47.13221707128243
442,0,45.0,3.5,0.87,45.28817965263296
443,0,42.0,3.7,1.92,43.325316413348574
444,0,42.0,3.6,0.81,43.325316413348574
445,0,45.0,3.2,-0.16,45.28817965263296
446,0,42.0,3.5,0.71,43.325316413348574
447,2,45.0,3.4,-1.25,45.29759027599206
448,0,44.0,3.4,-0.33,45.28817965263296
449,0,41.0,3.5,-1.25,41.130447198770625
450,0,41.0,3.6,2.05,41.130447198770625
451,4,35.0,3.6,-1.36,35.0820453505715
452,3,34.0,2.7,-1.56,35.60448111766814
453,3,32.0,2.7,0.71,33.544646013045195
454,0,47.0,3.0,0.71,47.13221707128243
455,0,44.0,3.4,0.81,45.28817965263296
456,4,42.5,2.3,-1.25,43.60299494094282
457,0,39.5,3.0,-1.32,41.130447198770625
458,0,41.0,3.5,1.84,41.130447198770625
459,0,29.5,2.9,-0.33,30.41726256161723
460,0,45.0,3.6,0.34,45.28817965263296
461,2,33.0,3.9,-0.41,32.913069434113176
462,5,35.0,2.5,0.19,35.237166685298824
463,0,43.0,3.7,-0.26,43.325316413348574
464,0,44.0,3.2,1.08,45.28817965263296
465,0,46.0,3.0,-1.27,47.13221707128243
466,0,39.0,3.6,-1.73,38.91366637980439
467,0,43.0,3.3,1.82,43.325316413348574
468,0,42.0,3.6,1.39,43.325316413348574
469,0,48.0,3.7,1.26,49.0
470,0,33.0,2.5,-0.32,32.489412194785075
471,0,40.0,3.8,-0.18,41.130447198770625
472,0,38.5,3.4,-0.74,38.91366637980439
473,0,40.0,3.6,0.09,41.130447198770625
474,2,44.0,3.0,-0.9,45.29759027599206
475,0,41.0,3.6,-0.06,41.130447198770625
476,2,43.0,3.3,-0.16,43.244136321479594
477,2,47.0,3.4,1.22,47.26669881201337
478,0,43.0,3.4,0.56,43.325316413348574
479,0,42.0,3.6,1.45,43.325316413348574
480,0,38.0,3.9,0.6,38.91366637980439
481,0,35.5,2.5,-0.24,36.757264183554916
482,0,37.0,3.7,1.04,36.757264183554916
483,0,42.0,3.5,0.69,43.325316413348574
484,4,46.0,3.1,-0.57,46.99999999999999
485,0,42.0,3.6,-0.92,43.325316413348574
486,0,45.0,3.3,0.6,45.28817965263296
487,6,40.0,3.7,-0.66,41.07243325878752
488,6,38.0,3.6,-0.22,39.16597205575577
489,0,42.0,3.1,-0.41,43.325316413348574
490,0,43.0,3.2,-1.07,43.325316413348574
491,0,31.0,2.6,-0.43,30.41726256161723
492,2,42.0,3.7,1.22,43.244136321479594
493,0,39.0,3.7,-1.5,38.91366637980439
494,0,47.0,3.1,1.32,47.13221707128243
495,0,41.0,3.8,-0.51,41.130447198770625
496,0,33.0,3.6,-0.99,32.489412194785075
497,0,42.0,3.4,-0.08,43.325316413348574
498,0,46.0,3.3,1.04,47.13221707128243
499,0,32.25,3.3,-0.71,32.489412194785075
500,0,37.0,3.5,-1.69,36.757264183554916
501,2,41.0,3.6,0.85,41.0263556823405
502,0,39.0,3.9,-0.35,38.91366637980439
503,0,42.0,3.4,-0.16,43.325316413348574
504,3,28.5,2.4,-1.54,29.368116621576966
505,0,44.0,3.6,0.77,45.28817965263296
506,0,40.0,3.6,0.67,41.130447198770625
507,4,37.0,2.5,-1.67,37.16422603751931
508,0,39.0,3.7,1.37,38.91366637980439
509,0,28.5,2.6,-0.95,28.36397895081746
510,0,44.0,3.2,-1.69,45.28817965263296
511,0,40.0,3.4,0.69,41.130447198770625
512,0,46.0,3.0,0.95,47.13221707128243
513,0,42.0,3.7,1.14,43.325316413348574
514,0,40.0,3.7,-0.22,41.130447198770625
515,0,41.0,3.6,0.36,41.130447198770625
516,0,46.0,3.5,2.11,47.13221707128243
517,3,42.0,2.5,-0.59,43.82847167261424
518,0,37.0,3.0,1.72,36.757264183554916
519,0,39.0,2.9,1.67,38.91366637980439
520,0,31.0,2.5,0.02,30.41726256161723
521,0,36.0,2.9,-0.78,36.757264183554916
522,0,32.5,3.3,0.56,32.489412194785075
523,0,35.0,2.3,0.95,34.57730321089646
524,0,41.0,2.9,0.74,41.130447198770625
525,0,30.25,2.9,-0.59,30.41726256161723
526,0,37.0,3.2,-0.32,36.757264183554916
527,0,36.0,3.8,0.99,36.757264183554916
528,0,36.0,3.1,-0.37,36.757264183554916
529,0,39.0,2.9,0.49,38.91366637980439
530,0,29.25,3.2,-0.88,30.41726256161723
531,0,35.0,3.2,-0.86,34.57730321089646
532,0,33.5,3.3,0.03,34.57730321089646
533,0,34.0,3.4,-0.94,34.57730321089646
534,0,38.0,2.8,-0.58,38.91366637980439
535,0,37.0,2.5,0.14,36.757264183554916
536,0,34.25,2.8,-0.55,34.57730321089646
537,0,41.0,2.8,0.66,41.130447198770625
538,0,26.0,3.5,0.72,26.35008146270513
539,0,36.0,2.9,-0.48,36.757264183554916
540,0,34.0,2.8,-0.16,34.57730321089646
541,0,38.0,2.7,1.15,38.91366637980439
542,0,38.0,2.6,-0.78,38.91366637980439
543,0,35.0,2.9,0.22,34.57730321089646
544,0,35.0,3.5,1.08,34.57730321089646
545,0,46.0,2.7,0.8,47.13221707128243
546,0,35.0,3.0,0.53,34.57730321089646
547,0,33.0,2.1,-0.62,32.489412194785075
548,0,35.0,3.2,0.92,34.57730321089646
549,0,28.0,3.3,0.37,28.36397895081746
550,0,36.0,2.9,0.28,36.757264183554916
551,0,35.0,2.9,0.09,34.57730321089646
552,0,32.0,3.8,-0.39,32.489412194785075
553,0,32.0,2.9,0.68,32.489412194785075
554,0,40.0,3.3,0.34,41.130447198770625
555,0,31.0,3.9,0.14,30.41726256161723
556,0,35.0,3.6,-0.33,34.57730321089646
557,0,32.0,3.1,-0.9,32.489412194785075
558,3,29.0,2.5,-0.25,29.368116621576966
559,0,35.0,2.8,-1.24,34.57730321089646
560,0,40.0,3.4,1.86,41.130447198770625
561,3,34.0,3.3,1.75,35.60448111766814
562,3,27.0,3.5,-0.93,27.220225239564655
563,3,30.0,3.3,0.29,31.433277896279797
564,3,31.0,2.2,0.21,31.433277896279797
565,3,23.25,2.7,-1.56,25.203060752685662
566,2,30.75,1.9,-0.02,30.6935219105224
567,3,29.0,3.2,1.12,29.368116621576966
568,3,33.0,2.3,0.16,33.544646013045195
569,2,29.0,2.7,0.16,28.499630728581234
