race,LSAT,UGPA,ZFYA,uuid
0,37.0,3.1,0.0,39244538802952487568839951716510045538
0,26.75,3.3,-0.41,16637114584280791806056971277086693658
3,32.0,3.7,-0.85,152571654530426728265573634645813013759
0,31.0,3.0,0.44,53490332531617256278191197255986095735
0,32.75,3.1,0.2,276362230085174300919434120491178523600
0,35.0,3.2,-0.28,276967005260669551235921680162046013031
0,31.0,3.2,2.48,188023752297395384276653789445772128668
0,33.0,3.0,-0.4,205451403946796078381826719508312521579
0,33.0,3.1,0.61,100293383397028039483869263248814158189
0,34.5,2.9,0.52,58678349756775406315550076647006724702
0,39.0,4.1,1.25,333176994540969929853303139086315739046
0,34.0,3.1,-0.6,262432653618214583590110924785187647736
0,34.0,2.8,1.51,170862698608548219908684157970163775617
0,37.0,2.8,-0.23,79132538556864557074515860953440960743
0,25.0,3.2,-0.64,240931731257670446958050642214621725800
0,33.0,2.9,0.69,16468661217129240291217249044838227164
4,29.0,3.1,-1.45,104336928809216395689980256022855285384
0,34.0,3.0,-0.24,213249429334933967354838959567550820229
0,34.0,2.7,1.51,107147752172689487694287642486375743534
0,30.5,3.0,-1.09,109224003529566977071709609695924467845
0,33.0,3.3,0.89,141471247652662337455207739796822625402
0,34.0,2.9,-1.93,125850144063349560295721569307605669836
0,30.0,3.4,0.73,212276601929126715031282167563259906331
0,38.0,2.4,-0.2,101562043577355590584203718469269905795
0,32.5,3.1,0.93,189451444245641256104791796648314661817
0,40.0,4.0,1.17,49193513954496451575457615573016027568
0,42.0,4.0,0.97,224201113617923976841372092874037552488
0,35.0,3.2,0.27,181583513441229672018843033688104128793
0,29.0,3.4,-0.52,249959089296962408924036181637409135064
0,35.0,2.9,-0.4,48758438962210000148675125796730137609
0,32.0,3.1,-1.17,76832191621485887844021006836140339081
0,27.0,2.3,-1.01,334934022494893152244893162666430574053
0,38.0,3.0,0.55,78522801280360498353764062694680592684
0,31.0,2.7,-0.2,217647014328155491472598005950308297821
0,38.0,3.0,0.15,339273227754628263093698679992901338947
0,28.5,3.9,0.48,296989267089269003889119028339508826989
0,34.0,2.6,0.0,18765847283540119386114371780249031252
0,31.0,3.0,0.0,275269669940297767832301917116060247074
0,33.0,2.9,-0.2,212307984321187305394115153517322096398
0,35.0,2.7,-1.05,331056258049845344898025841029410069107
0,32.5,2.8,0.08,295764213339311766360842679809895824618
0,36.0,2.6,-0.72,118213302627690244923771315277043438873
0,37.0,3.4,0.95,323669294254393412062248732813140615607
0,33.0,3.2,-0.4,291803160252386432860615573654165545257
0,37.0,2.9,0.24,14228744398313354581935398211947994049
0,25.5,2.8,-0.08,280141840589769645965412931717490351512
0,38.0,2.6,1.25,217713275162146597969259671470826734886
0,34.0,2.7,-0.12,164238439208583467423692406756947822052
0,35.0,2.9,1.94,134663695006176610286117605206167274340
0,29.5,2.8,0.24,339527074948210235403833798379482803536
0,41.0,3.0,0.2,244403785197032882913446140176489937451
0,35.0,3.2,-1.13,340215640850403100022448684138709354952
0,34.0,2.9,-2.06,86939759142864454673439457435046965484
0,42.0,2.6,1.57,261151786482946605853158936701605578107
0,30.5,3.1,0.87,23841829182367335551805140637414363316
0,41.0,2.5,0.9,271172836361724575252531070681220108599
0,31.5,3.5,0.2,110436706294636581498685129923282130269
0,35.0,3.7,0.44,81411167207137894645107470793552423731
0,31.0,3.3,0.85,43335680188967533916235871078937798071
0,39.0,3.1,1.19,282164665822963454765370584624434395150
0,39.0,2.9,0.98,105659668487194343149037532269243413262
0,40.0,2.6,0.16,152853385591361191512072872067831271617
0,40.0,3.8,1.85,306642015110544910588998318400381443432
0,33.0,3.2,-0.24,258841431136120227355074490946165693650
0,32.0,3.3,0.36,33443554879938456043644445879674301918
0,39.0,3.3,0.72,205939268849328576616267905043687249985
0,39.0,2.7,0.44,39743356341616133755798686780814024683
0,33.0,3.3,0.24,165205649148811248800617397520363854063
0,38.0,3.7,0.11,285656533556494105977801486616369769114
0,40.0,3.6,-0.09,193967783728987734821729671581293106431
0,38.0,3.4,-0.51,77557381795463229676023844759415781210
0,33.0,3.0,-0.82,83660295138069329005727188397035084940
0,40.0,3.2,1.73,67908805092412904640027163413231246533
6,42.0,3.3,1.22,333776389614235401482898759116293943290
3,29.0,2.8,-1.89,100098745648494374371661978645717041937
0,33.0,3.5,0.05,252965506810071773225814370346963221453
0,40.0,3.4,-1.06,25547930273687997559459342050591396750
0,36.0,3.1,0.53,191683371237755822028555115349905171290
3,25.0,2.8,-2.22,134480119068754319943192692677141747906
0,39.0,3.6,0.18,31535564096937777409667502857225149921
0,41.0,3.7,0.9,68505224293930873885864240331612221694
0,36.0,3.9,-0.12,10401617943739852369706835182289911709
0,44.0,3.2,0.75,209562521987344890843057643637174979087
0,42.0,3.5,-1.17,106344511835671274657382686058423907253
0,46.0,3.3,-2.08,120996637739081603675764543513176785207
0,40.0,2.2,1.04,270619113578231932359453296872607627542
0,41.0,3.8,1.16,22237709601425270321140579490435222805
6,41.0,3.4,0.5,130106048935419252825732541403515412688
6,32.0,2.8,-1.13,71309884975535330791087042380032253908
0,37.0,3.4,-1.02,176604639322218541391479579623218192372
0,40.0,3.5,-0.12,255837676079944116761879768459343115846
0,36.0,3.7,0.77,325095044865434687300442127013485879836
0,42.0,3.5,0.83,314508135924702441022338755171064100512
0,35.5,2.9,0.06,7144181981913222937424272777712262324
0,37.0,3.9,0.37,217834157056465155065545109095579452118
0,48.0,2.3,0.8,182975199730395654595344485388003904911
0,37.0,3.1,0.14,41398532430682464909483445287132696620
0,35.0,3.9,0.14,160588681095555362886927103792482039735
2,33.5,3.2,0.14,244640762336769048934755778710003872832
0,47.0,3.9,-0.2,55687483936937985326510519551256128004
0,41.0,2.8,0.33,142251491222525532719392263329161588247
0,40.0,3.5,0.65,165425911818739754787205428208718258312
0,44.0,3.4,-0.33,315991484436907060437389334698801931850
0,38.0,3.0,-0.02,45627052278714781617778337023263664111
0,39.0,3.6,0.51,340103858279473812561123955378284151278
3,28.0,3.4,-2.37,145724249337717496967898769068283376841
0,46.0,2.5,-0.27,132819245939118479822161773687517314331
0,42.0,3.0,-0.4,282925368838858508603080523916578792563
4,34.0,2.8,-0.26,319612766169148998246990769501843173333
0,34.0,3.7,-0.96,134459112242956750177118165447316553813
0,38.0,3.3,0.39,180756588906685921304163761622602753670
0,33.0,3.9,0.46,57488178189848268981864701382772485787
0,38.0,3.3,-0.13,54694467545183162208633130175515786644
0,34.0,3.9,-0.23,285597680446702571144103009541395550526
0,37.0,3.7,0.68,90269436886604386003740845590627674156
2,40.0,2.8,0.4,268205882241444491826507917434954053235
0,45.0,3.2,0.43,238592046999531570202190672544287272241
0,41.0,3.2,-0.28,215577802280941047616430343660536103958
0,36.0,3.7,0.89,305441006347856643420248217310700416999
0,45.0,3.5,-0.21,211763361781801894126961636215449992892
4,38.0,3.4,1.02,263585813998410104049259129592553572573
0,44.0,4.1,1.7,57902857898681485930618517372121800931
0,41.0,3.5,-0.1,205646397750263209441652112852985393079
0,39.5,3.5,-0.52,28276482011669330191752841813865538485
0,41.0,3.4,0.24,339737354385650308381502504555919354027
0,44.0,3.6,1.62,98401094209653364430085786950426347784
0,40.5,3.3,1.95,279211362773021169948324043209898566565
0,42.0,3.6,1.65,122464007287258941912796616715631787704
0,40.0,2.0,1.2,221691161509895144038612111349757153357
0,45.0,3.4,1.87,117939581770546162045561704093851922294
0,40.0,3.8,0.3,334346886713169464150252287928283282466
0,36.0,3.7,0.05,57407386868706489181692895639745429823
0,34.0,3.2,-0.55,199115284931877718485311578564818797404
0,37.0,3.5,-1.17,315112725881799617371929446672028310011
3,23.0,2.8,-2.23,75939719967847224928122782655625013568
0,38.0,3.4,-0.3,9875535642232694597192241368743575058
0,40.0,3.5,-0.06,250749895066695117475281916417344351428
0,39.0,3.4,0.57,29783325407170272009063405378131860821
0,40.0,3.2,0.82,239237064980863626941200515992283804110
0,33.0,2.9,0.19,201080448152446842897748501173458989478
0,38.0,3.8,1.16,338039742913489524958342980325141838406
0,43.0,3.8,1.14,246460214422367250415672563995112303248
0,38.0,3.5,0.48,289226482252840852881193079704906479116
0,35.0,3.3,-0.26,326539081006238745081693466836844146768
0,39.0,3.3,1.16,275168417126755068478628526820874173564
0,40.0,3.8,2.25,27779723940735131917779266950872207709
0,33.0,3.3,0.6,250112219416943134114364134536334196717
0,37.0,3.2,1.91,325794979701670851061406105627591557743
2,35.0,2.8,0.96,184689650910697117031289315576667346659
0,30.0,2.6,-0.26,315375314567849166470587281879194057533
0,38.0,3.2,0.56,262070829677715990077107091542881802180
7,31.0,3.7,0.8,124115590412597723257553833295231615837
0,40.0,3.0,1.45,319776513960472312089665064127876265574
0,34.0,3.7,0.43,327294741935820736260914244898300511135
0,42.0,3.9,0.5,2785644483879358789630113486066609654
0,35.5,2.8,1.78,51281880013162122168131917329031636497
0,32.5,2.7,1.02,146700220811652693532101212495303217960
0,30.0,3.0,-0.33,184623644274612573339246065979433537735
4,37.0,2.5,0.23,304667727848180735577934591406248405725
0,35.0,3.7,0.0,172549847568080349532122330226036542582
0,35.0,3.5,0.6,303688464955953449483122057917196808694
0,37.0,3.4,0.63,71224578261667655225737151089080441744
3,28.0,2.7,-0.59,270310864054062101063796757883258964246
4,30.0,2.9,-0.99,69011599217527319357249304024492133339
0,38.0,3.0,0.92,65443461548631194880158693032529628587
0,33.0,2.7,-0.24,200821958618504406996369484246082885519
0,47.0,2.9,0.56,21630186467558522909203533776738156194
0,38.0,2.8,-0.79,6599826821808276294852950567868514528
7,34.0,2.8,-0.86,234764562740189031770607465823027584454
1,34.0,3.1,-0.56,295729797364747135136199796813728380642
0,34.0,3.4,-0.43,86842007512282258171203037835599585730
3,29.0,2.5,-2.01,82739206349257633991833888594141971368
0,40.0,3.2,-0.36,57885080858161160639162328743717758623
0,30.0,2.7,0.06,154262562308518892184158869949120630685
2,26.0,2.5,-0.5,159398290795496293525347187827908755325
0,33.0,3.8,1.58,73730467228425887944086745780972818206
0,36.0,2.3,1.65,281878662165662082161684588705981503650
0,35.0,2.9,-0.13,282722452734269294764176330387326392932
0,30.0,2.9,-0.43,100913193538272241369523097431249547339
0,27.0,2.7,-0.72,213298201277284608711969997552482942729
0,38.0,3.2,0.63,298877562721932768389525428507781895124
0,28.5,2.1,-1.88,272016884871362771725265161602045097248
0,37.0,3.3,-0.13,318576985377522807471446194217884606776
0,39.0,2.4,-0.1,155463123644127248546315342125229006087
0,41.0,2.4,1.61,4451336496315959371363987177228904401
4,33.0,2.3,0.99,253467599811902625896081279644533061804
0,45.0,2.6,-1.05,239677664327688441608217413622754469688
0,33.0,3.4,-0.03,213646188426401370833492021715832562905
4,27.0,3.6,-0.1,313479359764000994250807457985572587927
0,40.0,3.7,1.75,112644477689827414687104801768863107865
0,36.0,3.1,-0.43,26728487621133539066982885261938105117
0,36.0,3.2,1.29,108495857775948560074091925513369008431
2,20.0,3.2,-1.87,328870558029598470678142817700346058509
0,36.0,3.8,-0.99,127570794244825838473900819543992480201
0,36.0,3.3,-0.12,16832006299628724005783103313777107281
0,42.0,3.4,0.99,185861868673796382026096773484676350068
0,40.0,3.6,0.73,315550366844584832186662685102879570455
7,26.0,3.6,-1.15,292526795151295015078600387465649760824
0,37.0,3.8,0.6,296347686835202125186277994653851400981
0,45.0,3.6,1.35,179109772775164657000727034533775708621
2,23.0,3.2,-0.1,244855194210551175276518328453611900525
0,30.5,2.4,-0.89,213004269329574245560997169133285312477
0,38.0,3.0,-0.69,64255265980254058511797631016100077332
3,25.0,2.5,-0.89,282873606576430916408863329451322293368
0,35.0,3.0,0.68,261807618632400204883485477225872201283
3,20.0,3.0,-1.02,299140536205955308245197401702085909325
2,28.0,2.8,-1.38,311513847137001703141186933670767102369
0,38.0,3.2,0.07,336264388391466288513817944539947574607
7,20.5,2.8,-1.19,177444166659633667725284555595569245181
0,44.0,3.0,1.45,16371608740423797930681110891132743564
0,29.0,2.9,1.16,29901592695750803768796506508146379262
0,45.0,2.6,-0.03,178919185810492645730146189683802489358
0,36.0,2.8,-1.19,17836596635560612433419830525477788554
3,21.0,3.0,-1.32,9436311601403638998543335189694779118
2,28.0,2.2,-0.79,57346326068338956650307291334106556986
0,35.0,3.3,0.9,87914912894394477147363214793435431368
0,36.0,3.1,-0.59,139870227766830418418481936854506704186
0,37.0,3.4,0.43,58652595499044113418688032242862079882
7,29.0,3.2,-0.89,70758175427212585881293867655676227478
0,33.0,3.4,1.62,51480863125193652147947186506513686703
0,36.0,3.2,0.27,26725222497225935764905380912856525287
0,42.0,3.4,0.92,228501770312962149281571989099313233292
2,29.5,2.7,-1.38,145071790724128522393527082291481279281
2,27.0,3.1,-1.68,150495031473404974449490745473940442511
0,37.0,3.3,0.03,25474301111538026461354313628811211791
7,22.0,3.3,-0.76,278261778341229843424426365364436655336
0,33.0,3.3,0.2,121340980557504124096432966126394902056
6,27.0,3.3,-0.03,72160782259710856993199686156706049508
2,28.0,3.3,-1.32,76093508730060131887589835206144375223
0,35.0,3.1,-0.14,90263001817567216755834147858862866748
0,28.0,3.7,0.0,157949660560811988706130301372358841994
2,34.0,2.6,-0.3,251754879147259143050902589696391118920
0,22.5,3.3,-1.45,334393570222148003395060167882263065875
0,41.0,3.6,0.05,200086867753609392999329549811462811322
5,33.0,3.1,-0.24,124345254396817177078600141767614201894
0,40.0,3.0,-0.1,153698758427382736339050598376426541276
0,40.5,3.5,0.58,41832759274219534100590503066523472589
0,40.0,3.7,-0.43,200301424294779072494873849943880202198
3,28.0,3.3,1.37,119880548563523385370710879855539401692
0,41.0,2.4,-0.59,216261953861419143650378451745052419121
0,47.0,2.8,-0.14,165930513847113890619007528252852370220
0,38.0,2.5,-1.69,45964711221285883410609150816407574699
0,26.25,3.4,-1.73,134121418510223053739344927232296115529
0,43.0,3.3,0.87,126595958613446371402054996345413588094
0,34.0,3.4,-1.36,195022003263700409464947252546238395338
0,40.0,3.6,-0.08,291556384799812639419169520128548229252
0,37.0,3.4,-0.51,221988682401481870143698525723905119585
0,35.0,2.8,-0.96,136998626351894292759237417789251331276
2,44.0,3.7,0.34,78935430326461561604988809330924141793
0,38.0,2.4,1.38,15074316507083143465091640732097585215
0,44.0,3.6,1.88,70000979358728938948769254046572162905
6,32.0,3.9,0.13,322030212982833642344229753127239332379
0,43.0,4.0,0.87,42172694863661295895374100849081721584
0,42.0,3.4,0.67,253297158682284170348220576652537824206
0,46.0,3.0,0.27,178812180669916646342505693650702910093
0,43.0,3.5,0.58,93929789686390197485652157418585585732
0,43.0,3.0,0.54,45483033821860084006675435422534584912
0,41.0,3.7,0.75,234648950646848481867714382443247238006
0,42.0,3.9,-1.21,192612999314597031646686141934998402347
0,28.0,2.8,-0.76,266820435840910674292764497273847151659
1,27.5,3.5,-1.54,308762389865673197450245521599354482750
0,46.0,3.3,-0.76,330848205140452506336718434446962509998
0,45.0,3.5,0.87,146496198909284673798541197047089234219
0,42.0,3.7,1.92,1430354501412384994677116234363759141
0,42.0,3.6,0.81,198593848421886560229072253799101321115
0,45.0,3.2,-0.16,326060428334009175717054930923181798198
0,42.0,3.5,0.71,53866685177932506867520647449024005215
2,45.0,3.4,-1.25,168632436209979610292703789123197183491
0,44.0,3.4,-0.33,62098289912671729488746843575220041842
0,41.0,3.5,-1.25,158347420628469471730585172860006192098
0,41.0,3.6,2.05,48193980278161636568105983528910856640
4,35.0,3.6,-1.36,228430197117752413458344008825834077618
3,34.0,2.7,-1.56,264266112716256225792210546074855615928
3,32.0,2.7,0.71,29036417106822065931835513757677644974
0,47.0,3.0,0.71,92182812139935196272474562766172381891
0,44.0,3.4,0.81,207428218431429752516333461385781989170
4,42.5,2.3,-1.25,301974725446828929493651620823259911855
0,39.5,3.0,-1.32,147574435693885136357515892470462810431
0,41.0,3.5,1.84,93414711733216172072410847574219426033
0,29.5,2.9,-0.33,104428860222691302371591015310431638348
0,45.0,3.6,0.34,192063566262822220963901733155191253784
2,33.0,3.9,-0.41,268259554231516867378176181040416414314
5,35.0,2.5,0.19,282485603456676449905733233737141226596
0,43.0,3.7,-0.26,194586304065425414119973712514931590365
0,44.0,3.2,1.08,41123101090699970202009376397560814660
0,46.0,3.0,-1.27,318510660707328189857431873843097438632
0,39.0,3.6,-1.73,290917760003211582035565139748980115409
0,43.0,3.3,1.82,264670419797201678000563818585982967605
0,42.0,3.6,1.39,124998098490000485475837927257929244432
0,48.0,3.7,1.26,122979955581894089695347662815058397544
0,33.0,2.5,-0.32,277324509038316468395366390499431867836
0,40.0,3.8,-0.18,107233021979768624230055599730494247028
0,38.5,3.4,-0.74,81629902236745970000902211591475398076
0,40.0,3.6,0.09,207479583087658659531042448188112307306
2,44.0,3.0,-0.9,232604472526236607493423356118650216919
0,41.0,3.6,-0.06,10141617583084379807881300518746671517
2,43.0,3.3,-0.16,135269926167389743905026182026820015192
2,47.0,3.4,1.22,127834849395054605029442351127873042943
0,43.0,3.4,0.56,96147710169621270749746178653373745726
0,42.0,3.6,1.45,130062507953518269639345378142053805115
0,38.0,3.9,0.6,143302219733594525660741340549419586418
0,35.5,2.5,-0.24,249741139742666633925649709032973418153
0,37.0,3.7,1.04,213844452256452771791439782830120712817
0,42.0,3.5,0.69,113331731863504696649179884693447343327
4,46.0,3.1,-0.57,27082221523897461458401847893904611675
0,42.0,3.6,-0.92,219783669272163505089530387654611811227
0,45.0,3.3,0.6,319506200641112853728135881314436513632
6,40.0,3.7,-0.66,295051588318901008348483976519153546124
6,38.0,3.6,-0.22,126227689558345053559894439416733062223
0,42.0,3.1,-0.41,28970719897856689799398188794396025615
