,sex,LSAT,UGPA,ZFYA,fairScore
169,0,39.0,2.4,0.16,38.59153295217082
170,1,41.0,3.9,1.17,41.67656281304559
171,0,29.0,3.5,0.2,27.650038935489906
172,0,36.5,3.1,-0.56,36.41346478420596
173,0,39.0,3.8,-0.32,38.59153295217082
174,0,36.0,3.0,0.36,36.41346478420596
175,0,36.0,2.9,-0.8,36.41346478420596
176,0,36.0,2.9,0.89,36.41346478420596
177,0,37.0,2.8,0.77,36.41346478420596
178,0,38.0,3.2,0.48,38.59153295217082
179,0,31.5,3.1,0.36,32.017492169171646
180,0,37.0,3.1,0.0,36.41346478420596
181,0,26.75,3.3,-0.41,25.55400660018916
182,1,32.0,3.7,-0.85,32.921753595657464
183,1,31.0,3.0,0.44,30.853478459995404
184,1,32.75,3.1,0.2,32.921753595657464
185,0,35.0,3.2,-0.28,34.207678710157104
186,1,31.0,3.2,2.48,30.853478459995404
187,0,33.0,3.0,-0.4,32.017492169171646
188,1,33.0,3.1,0.61,32.921753595657464
189,0,34.5,2.9,0.52,34.207678710157104
190,1,39.0,4.1,1.25,39.50881179099064
191,0,34.0,3.1,-0.6,34.207678710157104
192,0,34.0,2.8,1.51,34.207678710157104
193,1,37.0,2.8,-0.23,37.365151536881505
194,1,25.0,3.2,-0.64,24.76502944831482
195,0,33.0,2.9,0.69,32.017492169171646
196,1,29.0,3.1,-1.45,28.813945574957486
197,1,34.0,3.0,-0.24,35.17017203352973
198,1,34.0,2.7,1.51,35.17017203352973
199,1,30.5,3.0,-1.09,30.853478459995404
200,1,33.0,3.3,0.89,32.921753595657464
201,0,34.0,2.9,-1.93,34.207678710157104
202,1,30.0,3.4,0.73,30.853478459995404
203,1,38.0,2.4,-0.2,39.50881179099064
204,0,32.5,3.1,0.93,32.017492169171646
205,1,40.0,4.0,1.17,41.67656281304559
206,1,42.0,4.0,0.97,43.892828873340214
207,1,35.0,3.2,0.27,35.17017203352973
208,1,29.0,3.4,-0.52,28.813945574957486
209,0,35.0,2.9,-0.4,34.207678710157104
210,1,32.0,3.1,-1.17,32.921753595657464
211,0,27.0,2.3,-1.01,25.55400660018916
212,1,38.0,3.0,0.55,39.50881179099064
213,0,31.0,2.7,-0.2,29.843534062096946
214,1,38.0,3.0,0.15,39.50881179099064
215,1,28.5,3.9,0.48,28.813945574957486
216,0,34.0,2.6,0.0,34.207678710157104
217,1,31.0,3.0,0.0,30.853478459995404
218,0,33.0,2.9,-0.2,32.017492169171646
219,1,35.0,2.7,-1.05,35.17017203352973
220,1,32.5,2.8,0.08,32.921753595657464
221,1,36.0,2.6,-0.72,37.365151536881505
222,0,37.0,3.4,0.95,36.41346478420596
223,1,33.0,3.2,-0.4,32.921753595657464
224,1,37.0,2.9,0.24,37.365151536881505
225,0,25.5,2.8,-0.08,25.55400660018916
226,0,38.0,2.6,1.25,38.59153295217082
227,0,34.0,2.7,-0.12,34.207678710157104
228,0,35.0,2.9,1.94,34.207678710157104
229,0,29.5,2.8,0.24,29.843534062096946
230,1,41.0,3.0,0.2,41.67656281304559
231,0,35.0,3.2,-1.13,34.207678710157104
232,0,34.0,2.9,-2.06,34.207678710157104
233,0,42.0,2.6,1.57,43.19111506898679
234,0,30.5,3.1,0.87,29.843534062096946
235,0,41.0,2.5,0.9,40.721656787614336
236,0,31.5,3.5,0.2,32.017492169171646
237,1,35.0,3.7,0.44,35.17017203352973
238,0,31.0,3.3,0.85,29.843534062096946
239,0,39.0,3.1,1.19,38.59153295217082
240,0,39.0,2.9,0.98,38.59153295217082
241,1,40.0,2.6,0.16,41.67656281304559
242,0,40.0,3.8,1.85,40.721656787614336
243,0,33.0,3.2,-0.24,32.017492169171646
244,0,32.0,3.3,0.36,32.017492169171646
245,0,39.0,3.3,0.72,38.59153295217082
246,1,39.0,2.7,0.44,39.50881179099064
247,0,33.0,3.3,0.24,32.017492169171646
248,0,38.0,3.7,0.11,38.59153295217082
249,1,40.0,3.6,-0.09,41.67656281304559
250,0,38.0,3.4,-0.51,38.59153295217082
251,0,33.0,3.0,-0.82,32.017492169171646
252,0,40.0,3.2,1.73,40.721656787614336
253,0,42.0,3.3,1.22,43.19111506898679
254,0,29.0,2.8,-1.89,27.650038935489906
255,1,33.0,3.5,0.05,32.921753595657464
256,0,40.0,3.4,-1.06,40.721656787614336
257,0,36.0,3.1,0.53,36.41346478420596
258,1,25.0,2.8,-2.22,24.76502944831482
259,0,39.0,3.6,0.18,38.59153295217082
260,1,41.0,3.7,0.9,41.67656281304559
261,1,36.0,3.9,-0.12,37.365151536881505
262,0,44.0,3.2,0.75,45.23413352842084
263,1,42.0,3.5,-1.17,43.892828873340214
264,0,46.0,3.3,-2.08,47.09820080732016
265,0,40.0,2.2,1.04,40.721656787614336
266,1,41.0,3.8,1.16,41.67656281304559
267,1,41.0,3.4,0.5,41.67656281304559
268,0,32.0,2.8,-1.13,32.017492169171646
269,0,37.0,3.4,-1.02,36.41346478420596
270,1,40.0,3.5,-0.12,41.67656281304559
271,1,36.0,3.7,0.77,37.365151536881505
272,1,42.0,3.5,0.83,43.892828873340214
273,0,35.5,2.9,0.06,36.41346478420596
274,1,37.0,3.9,0.37,37.365151536881505
275,1,48.0,2.3,0.8,49.0
276,1,37.0,3.1,0.14,37.365151536881505
277,1,35.0,3.9,0.14,35.17017203352973
278,0,33.5,3.2,0.14,34.207678710157104
279,1,47.0,3.9,-0.2,47.613943188290406
280,1,41.0,2.8,0.33,41.67656281304559
281,1,40.0,3.5,0.65,41.67656281304559
282,0,44.0,3.4,-0.33,45.23413352842084
283,0,38.0,3.0,-0.02,38.59153295217082
284,0,39.0,3.6,0.51,38.59153295217082
285,1,28.0,3.4,-2.37,28.813945574957486
286,0,46.0,2.5,-0.27,47.09820080732016
287,0,42.0,3.0,-0.4,43.19111506898679
288,0,34.0,2.8,-0.26,34.207678710157104
289,0,34.0,3.7,-0.96,34.207678710157104
290,0,38.0,3.3,0.39,38.59153295217082
291,1,33.0,3.9,0.46,32.921753595657464
292,0,38.0,3.3,-0.13,38.59153295217082
293,0,34.0,3.9,-0.23,34.207678710157104
294,0,37.0,3.7,0.68,36.41346478420596
295,0,40.0,2.8,0.4,40.721656787614336
296,0,45.0,3.2,0.43,45.23413352842084
297,0,41.0,3.2,-0.28,40.721656787614336
298,0,36.0,3.7,0.89,36.41346478420596
299,0,45.0,3.5,-0.21,45.23413352842084
300,0,38.0,3.4,1.02,38.59153295217082
301,1,44.0,4.1,1.7,45.97197194861029
302,0,41.0,3.5,-0.1,40.721656787614336
303,0,39.5,3.5,-0.52,40.721656787614336
304,1,41.0,3.4,0.24,41.67656281304559
305,1,44.0,3.6,1.62,45.97197194861029
306,0,40.5,3.3,1.95,40.721656787614336
307,1,42.0,3.6,1.65,43.892828873340214
308,0,40.0,2.0,1.2,40.721656787614336
309,1,45.0,3.4,1.87,45.97197194861029
310,1,40.0,3.8,0.3,41.67656281304559
311,1,36.0,3.7,0.05,37.365151536881505
312,1,34.0,3.2,-0.55,35.17017203352973
313,1,37.0,3.5,-1.17,37.365151536881505
314,1,23.0,2.8,-2.23,22.685237964276627
315,0,38.0,3.4,-0.3,38.59153295217082
316,0,40.0,3.5,-0.06,40.721656787614336
317,1,39.0,3.4,0.57,39.50881179099064
318,0,40.0,3.2,0.82,40.721656787614336
319,0,33.0,2.9,0.19,32.017492169171646
320,0,38.0,3.8,1.16,38.59153295217082
321,0,43.0,3.8,1.14,43.19111506898679
322,1,38.0,3.5,0.48,39.50881179099064
323,1,35.0,3.3,-0.26,35.17017203352973
324,1,39.0,3.3,1.16,39.50881179099064
325,1,40.0,3.8,2.25,41.67656281304559
326,1,33.0,3.3,0.6,32.921753595657464
327,0,37.0,3.2,1.91,36.41346478420596
328,0,35.0,2.8,0.96,34.207678710157104
329,0,30.0,2.6,-0.26,29.843534062096946
330,1,38.0,3.2,0.56,39.50881179099064
331,1,31.0,3.7,0.8,30.853478459995404
332,1,40.0,3.0,1.45,41.67656281304559
333,0,34.0,3.7,0.43,34.207678710157104
334,1,42.0,3.9,0.5,43.892828873340214
335,0,35.5,2.8,1.78,36.41346478420596
336,0,32.5,2.7,1.02,32.017492169171646
337,1,30.0,3.0,-0.33,30.853478459995404
338,0,37.0,2.5,0.23,36.41346478420596
339,1,35.0,3.7,0.0,35.17017203352973
340,1,35.0,3.5,0.6,35.17017203352973
341,1,37.0,3.4,0.63,37.365151536881505
342,0,28.0,2.7,-0.59,27.650038935489906
343,1,30.0,2.9,-0.99,30.853478459995404
344,1,38.0,3.0,0.92,39.50881179099064
345,1,33.0,2.7,-0.24,32.921753595657464
346,1,47.0,2.9,0.56,47.613943188290406
347,0,38.0,2.8,-0.79,38.59153295217082
348,0,34.0,2.8,-0.86,34.207678710157104
349,1,34.0,3.1,-0.56,35.17017203352973
350,0,34.0,3.4,-0.43,34.207678710157104
351,1,29.0,2.5,-2.01,28.813945574957486
352,0,40.0,3.2,-0.36,40.721656787614336
353,0,30.0,2.7,0.06,29.843534062096946
354,0,26.0,2.5,-0.5,25.55400660018916
355,0,33.0,3.8,1.58,32.017492169171646
356,0,36.0,2.3,1.65,36.41346478420596
357,0,35.0,2.9,-0.13,34.207678710157104
358,1,30.0,2.9,-0.43,30.853478459995404
359,0,27.0,2.7,-0.72,25.55400660018916
360,0,38.0,3.2,0.63,38.59153295217082
361,0,28.5,2.1,-1.88,27.650038935489906
362,1,37.0,3.3,-0.13,37.365151536881505
363,0,39.0,2.4,-0.1,38.59153295217082
364,0,41.0,2.4,1.61,40.721656787614336
365,0,33.0,2.3,0.99,32.017492169171646
366,0,45.0,2.6,-1.05,45.23413352842084
367,0,33.0,3.4,-0.03,32.017492169171646
368,0,27.0,3.6,-0.1,25.55400660018916
369,1,40.0,3.7,1.75,41.67656281304559
370,1,36.0,3.1,-0.43,37.365151536881505
371,1,36.0,3.2,1.29,37.365151536881505
372,0,20.0,3.2,-1.87,19.272851835041056
373,0,36.0,3.8,-0.99,36.41346478420596
374,0,36.0,3.3,-0.12,36.41346478420596
375,1,42.0,3.4,0.99,43.892828873340214
376,0,40.0,3.6,0.73,40.721656787614336
377,0,26.0,3.6,-1.15,25.55400660018916
378,0,37.0,3.8,0.6,36.41346478420596
379,0,45.0,3.6,1.35,45.23413352842084
380,0,23.0,3.2,-0.1,21.551964612425838
381,0,30.5,2.4,-0.89,29.843534062096946
382,1,38.0,3.0,-0.69,39.50881179099064
383,1,25.0,2.5,-0.89,24.76502944831482
384,1,35.0,3.0,0.68,35.17017203352973
385,1,20.0,3.0,-1.02,20.582534916487617
386,1,28.0,2.8,-1.38,28.813945574957486
387,0,38.0,3.2,0.07,38.59153295217082
388,1,20.5,2.8,-1.19,20.582534916487617
389,0,44.0,3.0,1.45,45.23413352842084
390,0,29.0,2.9,1.16,27.650038935489906
391,0,45.0,2.6,-0.03,45.23413352842084
392,0,36.0,2.8,-1.19,36.41346478420596
393,1,21.0,3.0,-1.32,20.582534916487617
394,0,28.0,2.2,-0.79,27.650038935489906
395,0,35.0,3.3,0.9,34.207678710157104
396,0,36.0,3.1,-0.59,36.41346478420596
397,0,37.0,3.4,0.43,36.41346478420596
398,1,29.0,3.2,-0.89,28.813945574957486
399,0,33.0,3.4,1.62,32.017492169171646
400,0,36.0,3.2,0.27,36.41346478420596
401,1,42.0,3.4,0.92,43.892828873340214
402,0,29.5,2.7,-1.38,29.843534062096946
403,0,27.0,3.1,-1.68,25.55400660018916
404,0,37.0,3.3,0.03,36.41346478420596
405,1,22.0,3.3,-0.76,22.685237964276627
406,1,33.0,3.3,0.2,32.921753595657464
407,0,27.0,3.3,-0.03,25.55400660018916
408,0,28.0,3.3,-1.32,27.650038935489906
409,1,35.0,3.1,-0.14,35.17017203352973
410,0,28.0,3.7,0.0,27.650038935489906
411,0,34.0,2.6,-0.3,34.207678710157104
412,1,22.5,3.3,-1.45,22.685237964276627
413,0,41.0,3.6,0.05,40.721656787614336
414,0,33.0,3.1,-0.24,32.017492169171646
415,0,40.0,3.0,-0.1,40.721656787614336
416,0,40.5,3.5,0.58,40.721656787614336
417,1,40.0,3.7,-0.43,41.67656281304559
418,1,28.0,3.3,1.37,28.813945574957486
419,1,41.0,2.4,-0.59,41.67656281304559
420,0,47.0,2.8,-0.14,47.09820080732016
421,0,38.0,2.5,-1.69,38.59153295217082
422,1,26.25,3.4,-1.73,26.764884964683947
423,1,43.0,3.3,0.87,43.892828873340214
424,1,34.0,3.4,-1.36,35.17017203352973
425,0,40.0,3.6,-0.08,40.721656787614336
426,1,37.0,3.4,-0.51,37.365151536881505
427,0,35.0,2.8,-0.96,34.207678710157104
428,1,44.0,3.7,0.34,45.97197194861029
429,0,38.0,2.4,1.38,38.59153295217082
430,0,44.0,3.6,1.88,45.23413352842084
431,1,32.0,3.9,0.13,32.921753595657464
432,0,43.0,4.0,0.87,43.19111506898679
433,1,42.0,3.4,0.67,43.892828873340214
434,0,46.0,3.0,0.27,47.09820080732016
435,1,43.0,3.5,0.58,43.892828873340214
436,0,43.0,3.0,0.54,43.19111506898679
437,0,41.0,3.7,0.75,40.721656787614336
438,1,42.0,3.9,-1.21,43.892828873340214
439,0,28.0,2.8,-0.76,27.650038935489906
440,0,27.5,3.5,-1.54,27.650038935489906
441,0,46.0,3.3,-0.76,47.09820080732016
442,0,45.0,3.5,0.87,45.23413352842084
443,0,42.0,3.7,1.92,43.19111506898679
444,0,42.0,3.6,0.81,43.19111506898679
445,1,45.0,3.2,-0.16,45.97197194861029
446,1,42.0,3.5,0.71,43.892828873340214
447,1,45.0,3.4,-1.25,45.97197194861029
448,0,44.0,3.4,-0.33,45.23413352842084
449,1,41.0,3.5,-1.25,41.67656281304559
450,0,41.0,3.6,2.05,40.721656787614336
451,1,35.0,3.6,-1.36,35.17017203352973
452,0,34.0,2.7,-1.56,34.207678710157104
453,1,32.0,2.7,0.71,32.921753595657464
454,1,47.0,3.0,0.71,47.613943188290406
455,0,44.0,3.4,0.81,45.23413352842084
456,0,42.5,2.3,-1.25,43.19111506898679
457,1,39.5,3.0,-1.32,41.67656281304559
458,1,41.0,3.5,1.84,41.67656281304559
459,0,29.5,2.9,-0.33,29.843534062096946
460,0,45.0,3.6,0.34,45.23413352842084
461,0,33.0,3.9,-0.41,32.017492169171646
462,0,35.0,2.5,0.19,34.207678710157104
463,0,43.0,3.7,-0.26,43.19111506898679
464,0,44.0,3.2,1.08,45.23413352842084
465,0,46.0,3.0,-1.27,47.09820080732016
466,1,39.0,3.6,-1.73,39.50881179099064
467,1,43.0,3.3,1.82,43.892828873340214
468,1,42.0,3.6,1.39,43.892828873340214
469,1,48.0,3.7,1.26,49.0
470,0,33.0,2.5,-0.32,32.017492169171646
471,1,40.0,3.8,-0.18,41.67656281304559
472,1,38.5,3.4,-0.74,39.50881179099064
473,1,40.0,3.6,0.09,41.67656281304559
474,1,44.0,3.0,-0.9,45.97197194861029
475,1,41.0,3.6,-0.06,41.67656281304559
476,1,43.0,3.3,-0.16,43.892828873340214
477,0,47.0,3.4,1.22,47.09820080732016
478,0,43.0,3.4,0.56,43.19111506898679
479,1,42.0,3.6,1.45,43.892828873340214
480,0,38.0,3.9,0.6,38.59153295217082
481,1,35.5,2.5,-0.24,37.365151536881505
482,1,37.0,3.7,1.04,37.365151536881505
483,1,42.0,3.5,0.69,43.892828873340214
484,1,46.0,3.1,-0.57,47.613943188290406
485,0,42.0,3.6,-0.92,43.19111506898679
486,0,45.0,3.3,0.6,45.23413352842084
487,1,40.0,3.7,-0.66,41.67656281304559
488,1,38.0,3.6,-0.22,39.50881179099064
489,0,42.0,3.1,-0.41,43.19111506898679
490,0,43.0,3.2,-1.07,43.19111506898679
491,0,31.0,2.6,-0.43,29.843534062096946
492,1,42.0,3.7,1.22,43.892828873340214
493,0,39.0,3.7,-1.5,38.59153295217082
494,0,47.0,3.1,1.32,47.09820080732016
495,1,41.0,3.8,-0.51,41.67656281304559
496,0,33.0,3.6,-0.99,32.017492169171646
497,1,42.0,3.4,-0.08,43.892828873340214
498,1,46.0,3.3,1.04,47.613943188290406
499,0,32.25,3.3,-0.71,32.017492169171646
500,1,37.0,3.5,-1.69,37.365151536881505
501,1,41.0,3.6,0.85,41.67656281304559
502,1,39.0,3.9,-0.35,39.50881179099064
503,0,42.0,3.4,-0.16,43.19111506898679
504,0,28.5,2.4,-1.54,27.650038935489906
505,0,44.0,3.6,0.77,45.23413352842084
506,0,40.0,3.6,0.67,40.721656787614336
507,0,37.0,2.5,-1.67,36.41346478420596
508,0,39.0,3.7,1.37,38.59153295217082
509,1,28.5,2.6,-0.95,28.813945574957486
510,0,44.0,3.2,-1.69,45.23413352842084
511,0,40.0,3.4,0.69,40.721656787614336
512,1,46.0,3.0,0.95,47.613943188290406
513,1,42.0,3.7,1.14,43.892828873340214
514,0,40.0,3.7,-0.22,40.721656787614336
515,1,41.0,3.6,0.36,41.67656281304559
516,1,46.0,3.5,2.11,47.613943188290406
517,0,42.0,2.5,-0.59,43.19111506898679
518,0,37.0,3.0,1.72,36.41346478420596
519,0,39.0,2.9,1.67,38.59153295217082
520,1,31.0,2.5,0.02,30.853478459995404
521,1,36.0,2.9,-0.78,37.365151536881505
522,1,32.5,3.3,0.56,32.921753595657464
523,0,35.0,2.3,0.95,34.207678710157104
524,0,41.0,2.9,0.74,40.721656787614336
525,0,30.25,2.9,-0.59,29.843534062096946
526,0,37.0,3.2,-0.32,36.41346478420596
527,0,36.0,3.8,0.99,36.41346478420596
528,0,36.0,3.1,-0.37,36.41346478420596
529,0,39.0,2.9,0.49,38.59153295217082
530,1,29.25,3.2,-0.88,30.853478459995404
531,1,35.0,3.2,-0.86,35.17017203352973
532,1,33.5,3.3,0.03,35.17017203352973
533,0,34.0,3.4,-0.94,34.207678710157104
534,1,38.0,2.8,-0.58,39.50881179099064
535,0,37.0,2.5,0.14,36.41346478420596
536,1,34.25,2.8,-0.55,35.17017203352973
537,1,41.0,2.8,0.66,41.67656281304559
538,0,26.0,3.5,0.72,25.55400660018916
539,1,36.0,2.9,-0.48,37.365151536881505
540,0,34.0,2.8,-0.16,34.207678710157104
541,0,38.0,2.7,1.15,38.59153295217082
542,0,38.0,2.6,-0.78,38.59153295217082
543,0,35.0,2.9,0.22,34.207678710157104
544,1,35.0,3.5,1.08,35.17017203352973
545,1,46.0,2.7,0.8,47.613943188290406
546,1,35.0,3.0,0.53,35.17017203352973
547,0,33.0,2.1,-0.62,32.017492169171646
548,0,35.0,3.2,0.92,34.207678710157104
549,1,28.0,3.3,0.37,28.813945574957486
550,0,36.0,2.9,0.28,36.41346478420596
551,1,35.0,2.9,0.09,35.17017203352973
552,1,32.0,3.8,-0.39,32.921753595657464
553,1,32.0,2.9,0.68,32.921753595657464
554,0,40.0,3.3,0.34,40.721656787614336
555,1,31.0,3.9,0.14,30.853478459995404
556,0,35.0,3.6,-0.33,34.207678710157104
557,1,32.0,3.1,-0.9,32.921753595657464
558,1,29.0,2.5,-0.25,28.813945574957486
559,0,35.0,2.8,-1.24,34.207678710157104
560,1,40.0,3.4,1.86,41.67656281304559
561,1,34.0,3.3,1.75,35.17017203352973
562,0,27.0,3.5,-0.93,25.55400660018916
563,1,30.0,3.3,0.29,30.853478459995404
564,0,31.0,2.2,0.21,29.843534062096946
565,1,23.25,2.7,-1.56,24.76502944831482
566,0,30.75,1.9,-0.02,29.843534062096946
567,1,29.0,3.2,1.12,28.813945574957486
568,1,33.0,2.3,0.16,32.921753595657464
569,1,29.0,2.7,0.16,28.813945574957486
