sex,LSAT,UGPA,ZFYA,uuid
0,40.0,3.3,-0.77,8740140673290146281
1,45.0,3.3,0.64,8740140677585113577
0,35.0,2.6,0.02,8740140681880080873
1,37.0,3.6,-0.02,8740140686175048169
0,40.0,3.8,0.64,8740140690470015465
0,39.0,3.4,0.4,8740140694764982761
0,33.0,3.9,0.59,8740140699059950057
0,40.0,3.6,0.55,8740140703354917353
0,38.0,3.8,0.55,8740140707649884649
1,41.0,3.3,0.64,8740140711944851945
0,34.0,2.9,-0.25,8740140716239819241
0,40.0,3.1,1.08,8740140720534786537
1,38.0,3.3,-0.02,8740140724829753833
1,40.0,3.2,1.89,8740140729124721129
0,32.5,3.4,-0.17,8740140733419688425
1,41.0,3.4,0.17,8740140737714655721
1,37.0,3.5,-0.13,8740140742009623017
0,41.0,3.3,1.51,8740140746304590313
1,39.0,3.6,-0.66,8740140750599557609
0,38.0,3.5,0.42,8740140754894524905
0,42.0,3.1,0.68,8740140759189492201
1,37.0,3.6,1.27,8740140763484459497
1,32.0,2.8,-1.28,8740140767779426793
1,39.0,3.6,-0.22,8740140772074394089
1,32.0,2.8,-1.09,8740140776369361385
0,41.0,3.1,-0.51,8740140780664328681
1,36.0,3.7,0.17,8740140784959295977
0,38.0,3.4,-1.19,8740140789254263273
0,34.0,3.3,1.02,8740140793549230569
0,38.0,3.6,0.36,8740140797844197865
0,43.0,2.9,0.59,8740140802139165161
1,35.0,3.7,0.64,8740140806434132457
0,37.0,3.6,-0.77,8740140810729099753
1,37.0,3.9,1.36,8740140815024067049
0,40.0,3.2,0.59,8740140819319034345
1,45.0,3.2,1.57,8740140823614001641
0,39.5,3.3,0.55,8740140827908968937
0,40.0,3.3,2.15,8740140832203936233
1,38.0,3.4,-1.0,8740140836498903529
0,40.0,3.4,1.36,8740140840793870825
1,32.5,2.8,-0.92,8740140845088838121
0,36.0,3.7,0.1,8740140849383805417
1,30.0,3.5,-1.75,8740140853678772713
0,37.0,3.7,0.74,8740140857973740009
1,35.5,3.0,-1.73,8740140862268707305
1,31.0,3.4,-0.23,8740140866563674601
0,36.0,2.7,-0.36,8740140870858641897
1,35.0,2.9,1.25,8740140875153609193
1,28.5,3.2,0.57,8740140879448576489
0,39.0,2.4,0.16,8740140883743543785
1,41.0,3.9,1.17,8740140888038511081
0,29.0,3.5,0.2,8740140892333478377
0,36.5,3.1,-0.56,8740140896628445673
0,39.0,3.8,-0.32,8740140900923412969
0,36.0,3.0,0.36,8740140905218380265
0,36.0,2.9,-0.8,8740140909513347561
0,36.0,2.9,0.89,8740140913808314857
0,37.0,2.8,0.77,8740140918103282153
0,38.0,3.2,0.48,8740140922398249449
0,31.5,3.1,0.36,8740140926693216745
0,37.0,3.1,0.0,8740140930988184041
0,26.75,3.3,-0.41,8740140935283151337
1,32.0,3.7,-0.85,8740140939578118633
1,31.0,3.0,0.44,8740140943873085929
1,32.75,3.1,0.2,8740140948168053225
0,35.0,3.2,-0.28,8740140952463020521
1,31.0,3.2,2.48,8740140956757987817
0,33.0,3.0,-0.4,8740140961052955113
1,33.0,3.1,0.61,8740140965347922409
0,34.5,2.9,0.52,8740140969642889705
1,39.0,4.1,1.25,8740140973937857001
0,34.0,3.1,-0.6,8740140978232824297
0,34.0,2.8,1.51,8740140982527791593
1,37.0,2.8,-0.23,8740140986822758889
1,25.0,3.2,-0.64,8740140991117726185
0,33.0,2.9,0.69,8740140995412693481
1,29.0,3.1,-1.45,8740140999707660777
1,34.0,3.0,-0.24,8740141004002628073
1,34.0,2.7,1.51,8740141008297595369
1,30.5,3.0,-1.09,8740141012592562665
1,33.0,3.3,0.89,8740141016887529961
0,34.0,2.9,-1.93,8740141021182497257
1,30.0,3.4,0.73,8740141025477464553
1,38.0,2.4,-0.2,8740141029772431849
0,32.5,3.1,0.93,8740141034067399145
1,40.0,4.0,1.17,8740141038362366441
1,42.0,4.0,0.97,8740141042657333737
1,35.0,3.2,0.27,8740141046952301033
1,29.0,3.4,-0.52,8740141051247268329
0,35.0,2.9,-0.4,8740141055542235625
1,32.0,3.1,-1.17,8740141059837202921
0,27.0,2.3,-1.01,8740141064132170217
1,38.0,3.0,0.55,8740141068427137513
0,31.0,2.7,-0.2,8740141072722104809
1,38.0,3.0,0.15,8740141077017072105
1,28.5,3.9,0.48,8740141081312039401
0,34.0,2.6,0.0,8740141085607006697
1,31.0,3.0,0.0,8740141089901973993
0,33.0,2.9,-0.2,8740141094196941289
1,35.0,2.7,-1.05,8740141098491908585
1,32.5,2.8,0.08,8740141102786875881
1,36.0,2.6,-0.72,8740141107081843177
0,37.0,3.4,0.95,8740141111376810473
1,33.0,3.2,-0.4,8740141115671777769
1,37.0,2.9,0.24,8740141119966745065
0,25.5,2.8,-0.08,8740141124261712361
0,38.0,2.6,1.25,8740141128556679657
0,34.0,2.7,-0.12,8740141132851646953
0,35.0,2.9,1.94,8740141137146614249
0,29.5,2.8,0.24,8740141141441581545
1,41.0,3.0,0.2,8740141145736548841
0,35.0,3.2,-1.13,8740141150031516137
0,34.0,2.9,-2.06,8740141154326483433
0,42.0,2.6,1.57,8740141158621450729
0,30.5,3.1,0.87,8740141162916418025
0,41.0,2.5,0.9,8740141167211385321
0,31.5,3.5,0.2,8740141171506352617
1,35.0,3.7,0.44,8740141175801319913
0,31.0,3.3,0.85,8740141180096287209
0,39.0,3.1,1.19,8740141184391254505
0,39.0,2.9,0.98,8740141188686221801
1,40.0,2.6,0.16,8740141192981189097
0,40.0,3.8,1.85,8740141197276156393
0,33.0,3.2,-0.24,8740141201571123689
0,32.0,3.3,0.36,8740141205866090985
0,39.0,3.3,0.72,8740141210161058281
1,39.0,2.7,0.44,8740141214456025577
0,33.0,3.3,0.24,8740141218750992873
0,38.0,3.7,0.11,8740141223045960169
1,40.0,3.6,-0.09,8740141227340927465
0,38.0,3.4,-0.51,8740141231635894761
0,33.0,3.0,-0.82,8740141235930862057
0,40.0,3.2,1.73,8740141240225829353
0,42.0,3.3,1.22,8740141244520796649
0,29.0,2.8,-1.89,8740141248815763945
1,33.0,3.5,0.05,8740141253110731241
0,40.0,3.4,-1.06,8740141257405698537
0,36.0,3.1,0.53,8740141261700665833
1,25.0,2.8,-2.22,8740141265995633129
0,39.0,3.6,0.18,8740141270290600425
1,41.0,3.7,0.9,8740141274585567721
1,36.0,3.9,-0.12,8740141278880535017
0,44.0,3.2,0.75,8740141283175502313
1,42.0,3.5,-1.17,8740141287470469609
0,46.0,3.3,-2.08,8740141291765436905
0,40.0,2.2,1.04,8740141296060404201
1,41.0,3.8,1.16,8740141300355371497
1,41.0,3.4,0.5,8740141304650338793
0,32.0,2.8,-1.13,8740141308945306089
0,37.0,3.4,-1.02,8740141313240273385
1,40.0,3.5,-0.12,8740141317535240681
1,36.0,3.7,0.77,8740141321830207977
1,42.0,3.5,0.83,8740141326125175273
0,35.5,2.9,0.06,8740141330420142569
1,37.0,3.9,0.37,8740141334715109865
1,48.0,2.3,0.8,8740141339010077161
1,37.0,3.1,0.14,8740141343305044457
1,35.0,3.9,0.14,8740141347600011753
0,33.5,3.2,0.14,8740141351894979049
1,47.0,3.9,-0.2,8740141356189946345
1,41.0,2.8,0.33,8740141360484913641
1,40.0,3.5,0.65,8740141364779880937
0,44.0,3.4,-0.33,8740141369074848233
0,38.0,3.0,-0.02,8740141373369815529
0,39.0,3.6,0.51,8740141377664782825
1,28.0,3.4,-2.37,8740141381959750121
0,46.0,2.5,-0.27,8740141386254717417
0,42.0,3.0,-0.4,8740141390549684713
0,34.0,2.8,-0.26,8740141394844652009
0,34.0,3.7,-0.96,8740141399139619305
0,38.0,3.3,0.39,8740141403434586601
1,33.0,3.9,0.46,8740141407729553897
0,38.0,3.3,-0.13,8740141412024521193
0,34.0,3.9,-0.23,8740141416319488489
0,37.0,3.7,0.68,8740141420614455785
0,40.0,2.8,0.4,8740141424909423081
0,45.0,3.2,0.43,8740141429204390377
0,41.0,3.2,-0.28,8740141433499357673
0,36.0,3.7,0.89,8740141437794324969
0,45.0,3.5,-0.21,8740141442089292265
0,38.0,3.4,1.02,8740141446384259561
1,44.0,4.1,1.7,8740141450679226857
0,41.0,3.5,-0.1,8740141454974194153
0,39.5,3.5,-0.52,8740141459269161449
1,41.0,3.4,0.24,8740141463564128745
1,44.0,3.6,1.62,8740141467859096041
0,40.5,3.3,1.95,8740141472154063337
1,42.0,3.6,1.65,8740141476449030633
0,40.0,2.0,1.2,8740141480743997929
1,45.0,3.4,1.87,8740141485038965225
1,40.0,3.8,0.3,8740141489333932521
1,36.0,3.7,0.05,8740141493628899817
1,34.0,3.2,-0.55,8740141497923867113
1,37.0,3.5,-1.17,8740141502218834409
1,23.0,2.8,-2.23,8740141506513801705
0,38.0,3.4,-0.3,8740141510808769001
0,40.0,3.5,-0.06,8740141515103736297
1,39.0,3.4,0.57,8740141519398703593
0,40.0,3.2,0.82,8740141523693670889
0,33.0,2.9,0.19,8740141527988638185
0,38.0,3.8,1.16,8740141532283605481
0,43.0,3.8,1.14,8740141536578572777
1,38.0,3.5,0.48,8740141540873540073
1,35.0,3.3,-0.26,8740141545168507369
1,39.0,3.3,1.16,8740141549463474665
1,40.0,3.8,2.25,8740141553758441961
1,33.0,3.3,0.6,8740141558053409257
0,37.0,3.2,1.91,8740141562348376553
0,35.0,2.8,0.96,8740141566643343849
0,30.0,2.6,-0.26,8740141570938311145
1,38.0,3.2,0.56,8740141575233278441
1,31.0,3.7,0.8,8740141579528245737
1,40.0,3.0,1.45,8740141583823213033
0,34.0,3.7,0.43,8740141588118180329
1,42.0,3.9,0.5,8740141592413147625
0,35.5,2.8,1.78,8740141596708114921
0,32.5,2.7,1.02,8740141601003082217
1,30.0,3.0,-0.33,8740141605298049513
0,37.0,2.5,0.23,8740141609593016809
1,35.0,3.7,0.0,8740141613887984105
1,35.0,3.5,0.6,8740141618182951401
1,37.0,3.4,0.63,8740141622477918697
0,28.0,2.7,-0.59,8740141626772885993
1,30.0,2.9,-0.99,8740141631067853289
1,38.0,3.0,0.92,8740141635362820585
1,33.0,2.7,-0.24,8740141639657787881
1,47.0,2.9,0.56,8740141643952755177
0,38.0,2.8,-0.79,8740141648247722473
0,34.0,2.8,-0.86,8740141652542689769
1,34.0,3.1,-0.56,8740141656837657065
0,34.0,3.4,-0.43,8740141661132624361
1,29.0,2.5,-2.01,8740141665427591657
0,40.0,3.2,-0.36,8740141669722558953
0,30.0,2.7,0.06,8740141674017526249
0,26.0,2.5,-0.5,8740141678312493545
0,33.0,3.8,1.58,8740141682607460841
0,36.0,2.3,1.65,8740141686902428137
0,35.0,2.9,-0.13,8740141691197395433
1,30.0,2.9,-0.43,8740141695492362729
0,27.0,2.7,-0.72,8740141699787330025
0,38.0,3.2,0.63,8740141704082297321
0,28.5,2.1,-1.88,8740141708377264617
1,37.0,3.3,-0.13,8740141712672231913
0,39.0,2.4,-0.1,8740141716967199209
0,41.0,2.4,1.61,8740141721262166505
0,33.0,2.3,0.99,8740141725557133801
0,45.0,2.6,-1.05,8740141729852101097
0,33.0,3.4,-0.03,8740141734147068393
0,27.0,3.6,-0.1,8740141738442035689
1,40.0,3.7,1.75,8740141742737002985
1,36.0,3.1,-0.43,8740141747031970281
1,36.0,3.2,1.29,8740141751326937577
0,20.0,3.2,-1.87,8740141755621904873
0,36.0,3.8,-0.99,8740141759916872169
0,36.0,3.3,-0.12,8740141764211839465
1,42.0,3.4,0.99,8740141768506806761
0,40.0,3.6,0.73,8740141772801774057
0,26.0,3.6,-1.15,8740141777096741353
0,37.0,3.8,0.6,8740141781391708649
0,45.0,3.6,1.35,8740141785686675945
0,23.0,3.2,-0.1,8740141789981643241
0,30.5,2.4,-0.89,8740141794276610537
1,38.0,3.0,-0.69,8740141798571577833
1,25.0,2.5,-0.89,8740141802866545129
1,35.0,3.0,0.68,8740141807161512425
1,20.0,3.0,-1.02,8740141811456479721
1,28.0,2.8,-1.38,8740141815751447017
0,38.0,3.2,0.07,8740141820046414313
1,20.5,2.8,-1.19,8740141824341381609
0,44.0,3.0,1.45,8740141828636348905
0,29.0,2.9,1.16,8740141832931316201
0,45.0,2.6,-0.03,8740141837226283497
0,36.0,2.8,-1.19,8740141841521250793
1,21.0,3.0,-1.32,8740141845816218089
0,28.0,2.2,-0.79,8740141850111185385
0,35.0,3.3,0.9,8740141854406152681
0,36.0,3.1,-0.59,8740141858701119977
0,37.0,3.4,0.43,8740141862996087273
1,29.0,3.2,-0.89,8740141867291054569
0,33.0,3.4,1.62,8740141871586021865
0,36.0,3.2,0.27,8740141875880989161
1,42.0,3.4,0.92,8740141880175956457
0,29.5,2.7,-1.38,8740141884470923753
0,27.0,3.1,-1.68,8740141888765891049
0,37.0,3.3,0.03,8740141893060858345
1,22.0,3.3,-0.76,8740141897355825641
1,33.0,3.3,0.2,8740141901650792937
0,27.0,3.3,-0.03,8740141905945760233
0,28.0,3.3,-1.32,8740141910240727529
1,35.0,3.1,-0.14,8740141914535694825
0,28.0,3.7,0.0,8740141918830662121
0,34.0,2.6,-0.3,8740141923125629417
1,22.5,3.3,-1.45,8740141927420596713
0,41.0,3.6,0.05,8740141931715564009
0,33.0,3.1,-0.24,8740141936010531305
0,40.0,3.0,-0.1,8740141940305498601
0,40.5,3.5,0.58,8740141944600465897
1,40.0,3.7,-0.43,8740141948895433193
1,28.0,3.3,1.37,8740141953190400489
1,41.0,2.4,-0.59,8740141957485367785
0,47.0,2.8,-0.14,8740141961780335081
0,38.0,2.5,-1.69,8740141966075302377
1,26.25,3.4,-1.73,8740141970370269673
1,43.0,3.3,0.87,8740141974665236969
1,34.0,3.4,-1.36,8740141978960204265
0,40.0,3.6,-0.08,8740141983255171561
1,37.0,3.4,-0.51,8740141987550138857
0,35.0,2.8,-0.96,8740141991845106153
1,44.0,3.7,0.34,8740141996140073449
0,38.0,2.4,1.38,8740142000435040745
0,44.0,3.6,1.88,8740142004730008041
1,32.0,3.9,0.13,8740142009024975337
0,43.0,4.0,0.87,8740142013319942633
1,42.0,3.4,0.67,8740142017614909929
0,46.0,3.0,0.27,8740142021909877225
1,43.0,3.5,0.58,8740142026204844521
0,43.0,3.0,0.54,8740142030499811817
0,41.0,3.7,0.75,8740142034794779113
1,42.0,3.9,-1.21,8740142039089746409
0,28.0,2.8,-0.76,8740142043384713705
0,27.5,3.5,-1.54,8740142047679681001
0,46.0,3.3,-0.76,8740142051974648297
0,45.0,3.5,0.87,8740142056269615593
0,42.0,3.7,1.92,8740142060564582889
0,42.0,3.6,0.81,8740142064859550185
1,45.0,3.2,-0.16,8740142069154517481
1,42.0,3.5,0.71,8740142073449484777
1,45.0,3.4,-1.25,8740142077744452073
0,44.0,3.4,-0.33,8740142082039419369
1,41.0,3.5,-1.25,8740142086334386665
0,41.0,3.6,2.05,8740142090629353961
1,35.0,3.6,-1.36,8740142094924321257
0,34.0,2.7,-1.56,8740142099219288553
1,32.0,2.7,0.71,8740142103514255849
1,47.0,3.0,0.71,8740142107809223145
0,44.0,3.4,0.81,8740142112104190441
0,42.5,2.3,-1.25,8740142116399157737
1,39.5,3.0,-1.32,8740142120694125033
1,41.0,3.5,1.84,8740142124989092329
0,29.5,2.9,-0.33,8740142129284059625
0,45.0,3.6,0.34,8740142133579026921
0,33.0,3.9,-0.41,8740142137873994217
0,35.0,2.5,0.19,8740142142168961513
0,43.0,3.7,-0.26,8740142146463928809
0,44.0,3.2,1.08,8740142150758896105
0,46.0,3.0,-1.27,8740142155053863401
1,39.0,3.6,-1.73,8740142159348830697
1,43.0,3.3,1.82,8740142163643797993
1,42.0,3.6,1.39,8740142167938765289
1,48.0,3.7,1.26,8740142172233732585
0,33.0,2.5,-0.32,8740142176528699881
1,40.0,3.8,-0.18,8740142180823667177
1,38.5,3.4,-0.74,8740142185118634473
1,40.0,3.6,0.09,8740142189413601769
1,44.0,3.0,-0.9,8740142193708569065
1,41.0,3.6,-0.06,8740142198003536361
1,43.0,3.3,-0.16,8740142202298503657
0,47.0,3.4,1.22,8740142206593470953
0,43.0,3.4,0.56,8740142210888438249
1,42.0,3.6,1.45,8740142215183405545
0,38.0,3.9,0.6,8740142219478372841
1,35.5,2.5,-0.24,8740142223773340137
1,37.0,3.7,1.04,8740142228068307433
1,42.0,3.5,0.69,8740142232363274729
1,46.0,3.1,-0.57,8740142236658242025
0,42.0,3.6,-0.92,8740142240953209321
0,45.0,3.3,0.6,8740142245248176617
1,40.0,3.7,-0.66,8740142249543143913
1,38.0,3.6,-0.22,8740142253838111209
0,42.0,3.1,-0.41,8740142258133078505
0,43.0,3.2,-1.07,8740142262428045801
0,31.0,2.6,-0.43,8740142266723013097
1,42.0,3.7,1.22,8740142271017980393
0,39.0,3.7,-1.5,8740142275312947689
0,47.0,3.1,1.32,8740142279607914985
1,41.0,3.8,-0.51,8740142283902882281
0,33.0,3.6,-0.99,8740142288197849577
1,42.0,3.4,-0.08,8740142292492816873
1,46.0,3.3,1.04,8740142296787784169
0,32.25,3.3,-0.71,8740142301082751465
1,37.0,3.5,-1.69,8740142305377718761
1,41.0,3.6,0.85,8740142309672686057
1,39.0,3.9,-0.35,8740142313967653353
0,42.0,3.4,-0.16,8740142318262620649
0,28.5,2.4,-1.54,8740142322557587945
0,44.0,3.6,0.77,8740142326852555241
0,40.0,3.6,0.67,8740142331147522537
0,37.0,2.5,-1.67,8740142335442489833
0,39.0,3.7,1.37,8740142339737457129
1,28.5,2.6,-0.95,8740142344032424425
0,44.0,3.2,-1.69,8740142348327391721
0,40.0,3.4,0.69,8740142352622359017
1,46.0,3.0,0.95,8740142356917326313
1,42.0,3.7,1.14,8740142361212293609
0,40.0,3.7,-0.22,8740142365507260905
1,41.0,3.6,0.36,8740142369802228201
1,46.0,3.5,2.11,8740142374097195497
0,42.0,2.5,-0.59,8740142378392162793
0,37.0,3.0,1.72,8740142382687130089
0,39.0,2.9,1.67,8740142386982097385
1,31.0,2.5,0.02,8740142391277064681
1,36.0,2.9,-0.78,8740142395572031977
1,32.5,3.3,0.56,8740142399866999273
0,35.0,2.3,0.95,8740142404161966569
0,41.0,2.9,0.74,8740142408456933865
0,30.25,2.9,-0.59,8740142412751901161
0,37.0,3.2,-0.32,8740142417046868457
0,36.0,3.8,0.99,8740142421341835753
0,36.0,3.1,-0.37,8740142425636803049
0,39.0,2.9,0.49,8740142429931770345
1,29.25,3.2,-0.88,8740142434226737641
1,35.0,3.2,-0.86,8740142438521704937
1,33.5,3.3,0.03,8740142442816672233
0,34.0,3.4,-0.94,8740142447111639529
1,38.0,2.8,-0.58,8740142451406606825
0,37.0,2.5,0.14,8740142455701574121
1,34.25,2.8,-0.55,8740142459996541417
1,41.0,2.8,0.66,8740142464291508713
0,26.0,3.5,0.72,8740142468586476009
1,36.0,2.9,-0.48,8740142472881443305
0,34.0,2.8,-0.16,8740142477176410601
0,38.0,2.7,1.15,8740142481471377897
0,38.0,2.6,-0.78,8740142485766345193
0,35.0,2.9,0.22,8740142490061312489
1,35.0,3.5,1.08,8740142494356279785
1,46.0,2.7,0.8,8740142498651247081
1,35.0,3.0,0.53,8740142502946214377
0,33.0,2.1,-0.62,8740142507241181673
0,35.0,3.2,0.92,8740142511536148969
1,28.0,3.3,0.37,8740142515831116265
0,36.0,2.9,0.28,8740142520126083561
1,35.0,2.9,0.09,8740142524421050857
1,32.0,3.8,-0.39,8740142528716018153
1,32.0,2.9,0.68,8740142533010985449
0,40.0,3.3,0.34,8740142537305952745
1,31.0,3.9,0.14,8740142541600920041
0,35.0,3.6,-0.33,8740142545895887337
1,32.0,3.1,-0.9,8740142550190854633
1,29.0,2.5,-0.25,8740142554485821929
0,35.0,2.8,-1.24,8740142558780789225
1,40.0,3.4,1.86,8740142563075756521
1,34.0,3.3,1.75,8740142567370723817
0,27.0,3.5,-0.93,8740142571665691113
1,30.0,3.3,0.29,8740142575960658409
0,31.0,2.2,0.21,8740142580255625705
1,23.25,2.7,-1.56,8740142584550593001
0,30.75,1.9,-0.02,8740142588845560297
1,29.0,3.2,1.12,8740142593140527593
1,33.0,2.3,0.16,8740142597435494889
1,29.0,2.7,0.16,8740142601730462185
1,39.0,3.2,1.03,8740142606025429481
1,32.5,2.6,1.94,8740142610320396777
0,32.0,2.9,-0.57,8740142614615364073
0,31.0,3.1,0.62,8740142618910331369
0,37.0,3.0,-0.04,8740142623205298665
1,30.5,3.0,0.77,8740142627500265961
1,27.0,2.8,-1.06,8740142631795233257
0,36.0,2.6,0.41,8740142636090200553
0,29.0,2.1,-0.56,8740142640385167849
1,36.0,3.3,0.55,8740142644680135145
1,30.0,2.8,0.05,8740142648975102441
1,32.5,2.1,0.76,8740142653270069737
0,23.5,3.6,0.69,8740142657565037033
1,31.0,2.9,-0.9,8740142661860004329
1,31.0,3.1,-0.62,8740142666154971625
0,30.0,2.7,1.14,8740142670449938921
0,31.0,2.9,-1.69,8740142674744906217
0,29.0,2.7,-1.03,8740142679039873513
0,28.0,2.8,-0.09,8740142683334840809
0,40.0,1.7,0.52,8740142687629808105
1,29.0,3.6,-0.58,8740142691924775401
0,29.0,2.5,0.56,8740142696219742697
1,34.0,3.3,-1.24,8740142700514709993
0,30.0,3.4,0.71,8740142704809677289
1,28.5,2.2,-0.31,8740142709104644585
1,36.0,2.2,-0.55,8740142713399611881
0,31.0,2.8,0.02,8740142717694579177
1,31.0,2.2,-0.48,8740142721989546473
0,35.0,2.3,1.69,8740142726284513769
1,35.0,3.2,0.78,8740142730579481065
1,34.0,3.2,0.97,8740142734874448361
0,30.0,2.8,-0.69,8740142739169415657
1,32.0,3.4,0.1,8740142743464382953
1,37.0,2.7,-0.64,8740142747759350249
0,34.5,1.9,-0.93,8740142752054317545
0,36.0,2.7,0.78,8740142756349284841
1,26.0,3.6,0.03,8740142760644252137
1,34.0,3.1,-0.35,8740142764939219433
0,28.0,3.9,0.6,8740142769234186729
1,26.0,2.9,-0.14,8740142773529154025
1,26.5,2.8,-2.14,8740142777824121321
0,37.0,1.9,-0.96,8740142782119088617
1,32.0,2.1,-0.62,8740142786414055913
1,20.0,2.7,-0.93,8740142790709023209
0,31.5,2.4,-0.06,8740142795003990505
1,33.0,3.7,-0.55,8740142799298957801
1,35.0,2.7,-0.28,8740142803593925097
0,31.5,2.0,-0.68,8740142807888892393
0,23.25,3.5,0.21,8740142812183859689
1,29.0,2.7,-0.04,8740142816478826985
