,race,LSAT,UGPA,ZFYA,uuid,fairScore
70,0,32.0,3.8,-0.08,311387990926070102893819732932373459765,30.8928681643817
71,0,29.0,3.3,-1.19,196084643056257991640413879138193602676,26.536393857324377
72,0,31.0,3.0,-1.07,305530922089738481421932124639406165977,28.675076064364358
73,0,36.0,3.3,-0.49,281001042275907364541989765783919960497,35.76900645844651
74,3,27.0,2.4,-1.66,91088498832013012904322765841483859461,33.843857259243514
75,0,30.0,3.5,1.39,120049852863127072012365463101437381101,28.675076064364358
76,0,38.0,3.5,2.78,52691494520464424922846149746997799639,38.01995256899238
77,0,34.0,2.8,-0.63,180841221680736279981640350948538298646,33.44821967157165
78,0,37.0,3.7,1.32,226154861984035961337935174816521794509,35.76900645844651
79,4,36.0,2.7,-1.28,188190437028290488644374319739829217747,39.410068892239416
80,0,43.0,3.0,0.1,147627402363101111742082677214499963244,42.54048443290867
81,0,42.0,2.9,-0.62,296355356728480228795963926138973986570,42.54048443290867
82,0,33.5,3.4,0.69,280501587328043091579310437809462681923,33.44821967157165
83,0,25.0,2.9,-0.9,255032155302366319588125742161639102872,22.349462125824335
84,0,38.0,3.4,1.23,59527087604899223476913166461631267850,38.01995256899238
85,0,42.0,3.6,0.7,190671061965714837113045974624403350006,42.54048443290867
86,0,37.0,3.5,-1.64,260926838385771432033996517606857153327,35.76900645844651
87,0,29.5,3.5,-0.24,82150246979108228673072394318909458177,28.675076064364358
88,0,41.0,3.1,-0.05,170225236372948299029309377161112267951,40.256554053108374
89,0,38.0,3.6,-1.0,81098671078953549885337001781847969402,38.01995256899238
90,0,42.0,3.2,-0.22,294111691862582470589492535916926704670,42.54048443290867
91,0,35.5,3.3,2.26,12412238543339972949143636862830026679,35.76900645844651
92,0,36.0,3.6,-0.85,311473776429314651563617242648894750760,35.76900645844651
93,0,39.0,3.5,-0.71,282111896891151502049622484614473711652,38.01995256899238
94,0,28.0,2.9,-1.96,3145261074056550272164765419207208093,26.536393857324377
95,0,42.0,3.3,-1.13,75367698463437739405046925912399584890,42.54048443290867
96,0,43.0,3.5,0.74,161822518591316967397798149094229292070,42.54048443290867
97,0,43.0,3.1,0.29,56193923408068840516529186223271504269,42.54048443290867
98,0,35.0,3.2,-0.66,195409345646333257274880147257623734512,33.44821967157165
99,0,40.0,3.7,-0.43,235601807239118393295774952048053947910,40.256554053108374
100,0,42.0,2.5,-0.41,157283211071169688823683306665923388793,42.54048443290867
101,0,42.0,2.7,-0.02,127548157081497985191747777768021903109,42.54048443290867
102,0,40.0,3.7,0.21,73797220734961308699696237863653719684,40.256554053108374
103,0,38.0,3.5,1.61,2727073469352725618797172148611572340,38.01995256899238
104,0,40.0,3.3,-0.96,219164312768404634172897453586582703993,40.256554053108374
105,0,39.0,3.5,0.98,92628140683488767811314089871841234988,38.01995256899238
106,0,36.0,3.6,-0.58,296645242837461763918864325649251209025,35.76900645844651
107,0,38.0,3.6,-0.28,47884826451832587758120255276402562657,38.01995256899238
108,0,36.0,3.0,-1.19,145417691945414327109350396636969777892,35.76900645844651
109,0,39.0,3.2,-1.34,333808924462956026576926326782340900510,38.01995256899238
110,0,37.0,3.9,0.55,135215698512659613964486098964189398749,35.76900645844651
111,0,31.5,2.7,0.58,48219246363908631163507621555910797155,30.8928681643817
112,0,41.0,4.0,2.44,179820098142649362502699177515448750606,40.256554053108374
113,0,41.0,3.0,-1.45,159325268315438962113922926580758795880,40.256554053108374
114,0,36.0,3.3,1.04,64879985327054364798488106636494973353,35.76900645844651
115,0,35.0,3.8,-1.11,308258523619427881847109612954700677925,33.44821967157165
116,0,39.0,3.7,-1.58,187786760583391200235871620461276984423,38.01995256899238
117,0,37.0,3.8,0.4,197316947968720718877352854210420691157,35.76900645844651
118,0,37.0,3.1,-0.51,150104493148705912112829952977223962455,35.76900645844651
119,0,36.0,3.8,-0.66,303169706633538772386367703410697557195,35.76900645844651
120,0,40.0,3.3,-0.77,16675425489838826350321034516081623913,40.256554053108374
121,0,45.0,3.3,0.64,152791289001846766975526269797175531624,44.90267533799491
122,0,35.0,2.6,0.02,39885368015398510979882165015075546229,33.44821967157165
123,0,37.0,3.6,-0.02,258974289934247574516063397082886278047,35.76900645844651
124,0,40.0,3.8,0.64,75559132258264318242724675283158372811,40.256554053108374
125,0,39.0,3.4,0.4,186272691600147534261702032636828294390,38.01995256899238
126,0,33.0,3.9,0.59,142162834884509259923274731922884775011,30.8928681643817
127,0,40.0,3.6,0.55,163368242451595444567504572010056686050,40.256554053108374
128,0,38.0,3.8,0.55,87606234195035245054292777685552868243,38.01995256899238
129,0,41.0,3.3,0.64,320124455330953280139215766341021438150,40.256554053108374
130,0,34.0,2.9,-0.25,62971160983012100793391908043573547129,33.44821967157165
131,0,40.0,3.1,1.08,277581122097675880394587317330691481551,40.256554053108374
132,2,38.0,3.3,-0.02,275183654289194211895262570725417239545,38.988032233473085
133,0,40.0,3.2,1.89,337079134181632884937421049042023309681,40.256554053108374
134,0,32.5,3.4,-0.17,31866004249692840808016861674867465792,30.8928681643817
135,0,41.0,3.4,0.17,269564656224828868728243798520078907660,40.256554053108374
136,0,37.0,3.5,-0.13,95721991578896420685375512588101087329,35.76900645844651
137,0,41.0,3.3,1.51,9784276852094922436606921999309598524,40.256554053108374
138,0,39.0,3.6,-0.66,334496885051340184936824454560874421041,38.01995256899238
139,0,38.0,3.5,0.42,239894432423017199118936516086728729017,38.01995256899238
140,0,42.0,3.1,0.68,264220514915400364208765652242437716548,42.54048443290867
141,0,37.0,3.6,1.27,185039865899122557032591492463851420536,35.76900645844651
142,3,32.0,2.8,-1.28,202970627427143920646057085883091180507,40.211269609453346
143,0,39.0,3.6,-0.22,243636559461300001518367076039954634273,38.01995256899238
144,0,32.0,2.8,-1.09,3878340515565004842901117408081768749,30.8928681643817
145,0,41.0,3.1,-0.51,302073830534350190023295631176763716020,40.256554053108374
146,0,36.0,3.7,0.17,203950647295495265392312473114085577567,35.76900645844651
147,0,38.0,3.4,-1.19,168081102544761732164039290154659796148,38.01995256899238
148,0,34.0,3.3,1.02,286734534740796267649490782984783220396,33.44821967157165
149,0,38.0,3.6,0.36,49461148665454816486157193657821181813,38.01995256899238
150,0,43.0,2.9,0.59,36746683000257943664083980307447986747,42.54048443290867
151,0,35.0,3.7,0.64,217926144181483872257430246534547004858,33.44821967157165
152,2,37.0,3.6,-0.77,40019034189790301186702349975862934692,37.0
153,0,37.0,3.9,1.36,246339598962056773524991088644837901333,35.76900645844651
154,0,40.0,3.2,0.59,172282819818031616622574416559677462995,40.256554053108374
155,0,45.0,3.2,1.57,208795458849494460077658715570280729996,44.90267533799491
156,0,39.5,3.3,0.55,279593065120518789127139873336186624694,40.256554053108374
157,0,40.0,3.3,2.15,121771992875316557576611365307843978737,40.256554053108374
158,0,38.0,3.4,-1.0,89756613240062722602207373083365197508,38.01995256899238
159,0,40.0,3.4,1.36,289598692435441421612252266448400055022,40.256554053108374
160,5,32.5,2.8,-0.92,266403637239716525449017706694146926668,36.44989187395892
161,0,36.0,3.7,0.1,255432546109338708081418448825106866812,35.76900645844651
162,0,30.0,3.5,-1.75,100914001586636579351488828311128293167,28.675076064364358
163,0,37.0,3.7,0.74,128515476578828076075928633483899486085,35.76900645844651
164,6,35.5,3.0,-1.73,21422227270179537035827752224023395098,37.529717280995825
165,2,31.0,3.4,-0.23,234121863859509081236553539959611321617,31.119574770919996
166,0,36.0,2.7,-0.36,234465737480452713706106366505944797949,35.76900645844651
167,0,35.0,2.9,1.25,295264603305552033780194203085623630197,33.44821967157165
168,0,28.5,3.2,0.57,313061525385305542350868678402055358400,26.536393857324377
169,0,39.0,2.4,0.16,144113266228793901714350331566446844334,38.01995256899238
170,0,41.0,3.9,1.17,278534640342376520769438033349744052669,40.256554053108374
171,0,29.0,3.5,0.2,10403276020723509540859142523863150750,26.536393857324377
172,0,36.5,3.1,-0.56,52488985042374766372286582376382950375,35.76900645844651
173,0,39.0,3.8,-0.32,213800448978507626101920494655126608620,38.01995256899238
174,0,36.0,3.0,0.36,18791241960555269040331138534066100896,35.76900645844651
175,0,36.0,2.9,-0.8,303170718840221637772656939537500851818,35.76900645844651
176,0,36.0,2.9,0.89,326913421601798993159137961950426979795,35.76900645844651
177,0,37.0,2.8,0.77,87081234668573116328562788665176545158,35.76900645844651
178,0,38.0,3.2,0.48,141581778791977554896861441634732688043,38.01995256899238
179,0,31.5,3.1,0.36,45498595704524650257579418308247138784,30.8928681643817
180,0,37.0,3.1,0.0,39244538802952487568839951716510045538,35.76900645844651
181,0,26.75,3.3,-0.41,16637114584280791806056971277086693658,24.439714201369704
182,3,32.0,3.7,-0.85,152571654530426728265573634645813013759,40.211269609453346
183,0,31.0,3.0,0.44,53490332531617256278191197255986095735,28.675076064364358
184,0,32.75,3.1,0.2,276362230085174300919434120491178523600,30.8928681643817
185,0,35.0,3.2,-0.28,276967005260669551235921680162046013031,33.44821967157165
186,0,31.0,3.2,2.48,188023752297395384276653789445772128668,28.675076064364358
187,0,33.0,3.0,-0.4,205451403946796078381826719508312521579,30.8928681643817
188,0,33.0,3.1,0.61,100293383397028039483869263248814158189,30.8928681643817
189,0,34.5,2.9,0.52,58678349756775406315550076647006724702,33.44821967157165
190,0,39.0,4.1,1.25,333176994540969929853303139086315739046,38.01995256899238
191,0,34.0,3.1,-0.6,262432653618214583590110924785187647736,33.44821967157165
192,0,34.0,2.8,1.51,170862698608548219908684157970163775617,33.44821967157165
193,0,37.0,2.8,-0.23,79132538556864557074515860953440960743,35.76900645844651
194,0,25.0,3.2,-0.64,240931731257670446958050642214621725800,22.349462125824335
195,0,33.0,2.9,0.69,16468661217129240291217249044838227164,30.8928681643817
196,4,29.0,3.1,-1.45,104336928809216395689980256022855285384,31.749863143979038
197,0,34.0,3.0,-0.24,213249429334933967354838959567550820229,33.44821967157165
198,0,34.0,2.7,1.51,107147752172689487694287642486375743534,33.44821967157165
199,0,30.5,3.0,-1.09,109224003529566977071709609695924467845,28.675076064364358
200,0,33.0,3.3,0.89,141471247652662337455207739796822625402,30.8928681643817
201,0,34.0,2.9,-1.93,125850144063349560295721569307605669836,33.44821967157165
202,0,30.0,3.4,0.73,212276601929126715031282167563259906331,28.675076064364358
203,0,38.0,2.4,-0.2,101562043577355590584203718469269905795,38.01995256899238
204,0,32.5,3.1,0.93,189451444245641256104791796648314661817,30.8928681643817
205,0,40.0,4.0,1.17,49193513954496451575457615573016027568,40.256554053108374
206,0,42.0,4.0,0.97,224201113617923976841372092874037552488,42.54048443290867
207,0,35.0,3.2,0.27,181583513441229672018843033688104128793,33.44821967157165
208,0,29.0,3.4,-0.52,249959089296962408924036181637409135064,26.536393857324377
209,0,35.0,2.9,-0.4,48758438962210000148675125796730137609,33.44821967157165
210,0,32.0,3.1,-1.17,76832191621485887844021006836140339081,30.8928681643817
211,0,27.0,2.3,-1.01,334934022494893152244893162666430574053,24.439714201369704
212,0,38.0,3.0,0.55,78522801280360498353764062694680592684,38.01995256899238
213,0,31.0,2.7,-0.2,217647014328155491472598005950308297821,28.675076064364358
214,0,38.0,3.0,0.15,339273227754628263093698679992901338947,38.01995256899238
215,0,28.5,3.9,0.48,296989267089269003889119028339508826989,26.536393857324377
216,0,34.0,2.6,0.0,18765847283540119386114371780249031252,33.44821967157165
217,0,31.0,3.0,0.0,275269669940297767832301917116060247074,28.675076064364358
218,0,33.0,2.9,-0.2,212307984321187305394115153517322096398,30.8928681643817
219,0,35.0,2.7,-1.05,331056258049845344898025841029410069107,33.44821967157165
220,0,32.5,2.8,0.08,295764213339311766360842679809895824618,30.8928681643817
221,0,36.0,2.6,-0.72,118213302627690244923771315277043438873,35.76900645844651
222,0,37.0,3.4,0.95,323669294254393412062248732813140615607,35.76900645844651
223,0,33.0,3.2,-0.4,291803160252386432860615573654165545257,30.8928681643817
224,0,37.0,2.9,0.24,14228744398313354581935398211947994049,35.76900645844651
225,0,25.5,2.8,-0.08,280141840589769645965412931717490351512,24.439714201369704
226,0,38.0,2.6,1.25,217713275162146597969259671470826734886,38.01995256899238
227,0,34.0,2.7,-0.12,164238439208583467423692406756947822052,33.44821967157165
228,0,35.0,2.9,1.94,134663695006176610286117605206167274340,33.44821967157165
229,0,29.5,2.8,0.24,339527074948210235403833798379482803536,28.675076064364358
230,0,41.0,3.0,0.2,244403785197032882913446140176489937451,40.256554053108374
231,0,35.0,3.2,-1.13,340215640850403100022448684138709354952,33.44821967157165
232,0,34.0,2.9,-2.06,86939759142864454673439457435046965484,33.44821967157165
233,0,42.0,2.6,1.57,261151786482946605853158936701605578107,42.54048443290867
234,0,30.5,3.1,0.87,23841829182367335551805140637414363316,28.675076064364358
235,0,41.0,2.5,0.9,271172836361724575252531070681220108599,40.256554053108374
236,0,31.5,3.5,0.2,110436706294636581498685129923282130269,30.8928681643817
237,0,35.0,3.7,0.44,81411167207137894645107470793552423731,33.44821967157165
238,0,31.0,3.3,0.85,43335680188967533916235871078937798071,28.675076064364358
239,0,39.0,3.1,1.19,282164665822963454765370584624434395150,38.01995256899238
240,0,39.0,2.9,0.98,105659668487194343149037532269243413262,38.01995256899238
241,0,40.0,2.6,0.16,152853385591361191512072872067831271617,40.256554053108374
242,0,40.0,3.8,1.85,306642015110544910588998318400381443432,40.256554053108374
243,0,33.0,3.2,-0.24,258841431136120227355074490946165693650,30.8928681643817
244,0,32.0,3.3,0.36,33443554879938456043644445879674301918,30.8928681643817
245,0,39.0,3.3,0.72,205939268849328576616267905043687249985,38.01995256899238
246,0,39.0,2.7,0.44,39743356341616133755798686780814024683,38.01995256899238
247,0,33.0,3.3,0.24,165205649148811248800617397520363854063,30.8928681643817
248,0,38.0,3.7,0.11,285656533556494105977801486616369769114,38.01995256899238
249,0,40.0,3.6,-0.09,193967783728987734821729671581293106431,40.256554053108374
250,0,38.0,3.4,-0.51,77557381795463229676023844759415781210,38.01995256899238
251,0,33.0,3.0,-0.82,83660295138069329005727188397035084940,30.8928681643817
252,0,40.0,3.2,1.73,67908805092412904640027163413231246533,40.256554053108374
253,6,42.0,3.3,1.22,333776389614235401482898759116293943290,43.57517362590494
254,3,29.0,2.8,-1.89,100098745648494374371661978645717041937,35.966785509708515
255,0,33.0,3.5,0.05,252965506810071773225814370346963221453,30.8928681643817
256,0,40.0,3.4,-1.06,25547930273687997559459342050591396750,40.256554053108374
257,0,36.0,3.1,0.53,191683371237755822028555115349905171290,35.76900645844651
258,3,25.0,2.8,-2.22,134480119068754319943192692677141747906,31.828807122732
259,0,39.0,3.6,0.18,31535564096937777409667502857225149921,38.01995256899238
260,0,41.0,3.7,0.9,68505224293930873885864240331612221694,40.256554053108374
261,0,36.0,3.9,-0.12,10401617943739852369706835182289911709,35.76900645844651
262,0,44.0,3.2,0.75,209562521987344890843057643637174979087,44.90267533799491
263,0,42.0,3.5,-1.17,106344511835671274657382686058423907253,42.54048443290867
264,0,46.0,3.3,-2.08,120996637739081603675764543513176785207,46.91586436682488
265,0,40.0,2.2,1.04,270619113578231932359453296872607627542,40.256554053108374
266,0,41.0,3.8,1.16,22237709601425270321140579490435222805,40.256554053108374
267,6,41.0,3.4,0.5,130106048935419252825732541403515412688,41.459342144431034
268,6,32.0,2.8,-1.13,71309884975535330791087042380032253908,33.88008641672728
269,0,37.0,3.4,-1.02,176604639322218541391479579623218192372,35.76900645844651
270,0,40.0,3.5,-0.12,255837676079944116761879768459343115846,40.256554053108374
271,0,36.0,3.7,0.77,325095044865434687300442127013485879836,35.76900645844651
272,0,42.0,3.5,0.83,314508135924702441022338755171064100512,42.54048443290867
273,0,35.5,2.9,0.06,7144181981913222937424272777712262324,35.76900645844651
274,0,37.0,3.9,0.37,217834157056465155065545109095579452118,35.76900645844651
275,0,48.0,2.3,0.8,182975199730395654595344485388003904911,48.897852021621524
276,0,37.0,3.1,0.14,41398532430682464909483445287132696620,35.76900645844651
277,0,35.0,3.9,0.14,160588681095555362886927103792482039735,33.44821967157165
278,2,33.5,3.2,0.14,244640762336769048934755778710003872832,35.19745380258035
279,0,47.0,3.9,-0.2,55687483936937985326510519551256128004,46.91586436682488
280,0,41.0,2.8,0.33,142251491222525532719392263329161588247,40.256554053108374
281,0,40.0,3.5,0.65,165425911818739754787205428208718258312,40.256554053108374
282,0,44.0,3.4,-0.33,315991484436907060437389334698801931850,44.90267533799491
283,0,38.0,3.0,-0.02,45627052278714781617778337023263664111,38.01995256899238
284,0,39.0,3.6,0.51,340103858279473812561123955378284151278,38.01995256899238
285,3,28.0,3.4,-2.37,145724249337717496967898769068283376841,35.966785509708515
286,0,46.0,2.5,-0.27,132819245939118479822161773687517314331,46.91586436682488
287,0,42.0,3.0,-0.4,282925368838858508603080523916578792563,42.54048443290867
288,4,34.0,2.8,-0.26,319612766169148998246990769501843173333,37.55821191462688
289,0,34.0,3.7,-0.96,134459112242956750177118165447316553813,33.44821967157165
290,0,38.0,3.3,0.39,180756588906685921304163761622602753670,38.01995256899238
291,0,33.0,3.9,0.46,57488178189848268981864701382772485787,30.8928681643817
292,0,38.0,3.3,-0.13,54694467545183162208633130175515786644,38.01995256899238
293,0,34.0,3.9,-0.23,285597680446702571144103009541395550526,33.44821967157165
294,0,37.0,3.7,0.68,90269436886604386003740845590627674156,35.76900645844651
295,2,40.0,2.8,0.4,268205882241444491826507917434954053235,40.92695452390588
296,0,45.0,3.2,0.43,238592046999531570202190672544287272241,44.90267533799491
297,0,41.0,3.2,-0.28,215577802280941047616430343660536103958,40.256554053108374
298,0,36.0,3.7,0.89,305441006347856643420248217310700416999,35.76900645844651
299,0,45.0,3.5,-0.21,211763361781801894126961636215449992892,44.90267533799491
300,4,38.0,3.4,1.02,263585813998410104049259129592553572573,41.23918142201012
301,0,44.0,4.1,1.7,57902857898681485930618517372121800931,44.90267533799491
302,0,41.0,3.5,-0.1,205646397750263209441652112852985393079,40.256554053108374
303,0,39.5,3.5,-0.52,28276482011669330191752841813865538485,40.256554053108374
304,0,41.0,3.4,0.24,339737354385650308381502504555919354027,40.256554053108374
305,0,44.0,3.6,1.62,98401094209653364430085786950426347784,44.90267533799491
306,0,40.5,3.3,1.95,279211362773021169948324043209898566565,40.256554053108374
307,0,42.0,3.6,1.65,122464007287258941912796616715631787704,42.54048443290867
308,0,40.0,2.0,1.2,221691161509895144038612111349757153357,40.256554053108374
309,0,45.0,3.4,1.87,117939581770546162045561704093851922294,44.90267533799491
310,0,40.0,3.8,0.3,334346886713169464150252287928283282466,40.256554053108374
311,0,36.0,3.7,0.05,57407386868706489181692895639745429823,35.76900645844651
312,0,34.0,3.2,-0.55,199115284931877718485311578564818797404,33.44821967157165
313,0,37.0,3.5,-1.17,315112725881799617371929446672028310011,35.76900645844651
314,3,23.0,2.8,-2.23,75939719967847224928122782655625013568,29.723538788250025
315,0,38.0,3.4,-0.3,9875535642232694597192241368743575058,38.01995256899238
316,0,40.0,3.5,-0.06,250749895066695117475281916417344351428,40.256554053108374
317,0,39.0,3.4,0.57,29783325407170272009063405378131860821,38.01995256899238
318,0,40.0,3.2,0.82,239237064980863626941200515992283804110,40.256554053108374
319,0,33.0,2.9,0.19,201080448152446842897748501173458989478,30.8928681643817
320,0,38.0,3.8,1.16,338039742913489524958342980325141838406,38.01995256899238
321,0,43.0,3.8,1.14,246460214422367250415672563995112303248,42.54048443290867
322,0,38.0,3.5,0.48,289226482252840852881193079704906479116,38.01995256899238
323,0,35.0,3.3,-0.26,326539081006238745081693466836844146768,33.44821967157165
324,0,39.0,3.3,1.16,275168417126755068478628526820874173564,38.01995256899238
325,0,40.0,3.8,2.25,27779723940735131917779266950872207709,40.256554053108374
326,0,33.0,3.3,0.6,250112219416943134114364134536334196717,30.8928681643817
327,0,37.0,3.2,1.91,325794979701670851061406105627591557743,35.76900645844651
328,2,35.0,2.8,0.96,184689650910697117031289315576667346659,35.19745380258035
329,0,30.0,2.6,-0.26,315375314567849166470587281879194057533,28.675076064364358
330,0,38.0,3.2,0.56,262070829677715990077107091542881802180,38.01995256899238
331,7,31.0,3.7,0.8,124115590412597723257553833295231615837,34.53921723270285
332,0,40.0,3.0,1.45,319776513960472312089665064127876265574,40.256554053108374
333,0,34.0,3.7,0.43,327294741935820736260914244898300511135,33.44821967157165
334,0,42.0,3.9,0.5,2785644483879358789630113486066609654,42.54048443290867
335,0,35.5,2.8,1.78,51281880013162122168131917329031636497,35.76900645844651
336,0,32.5,2.7,1.02,146700220811652693532101212495303217960,30.8928681643817
337,0,30.0,3.0,-0.33,184623644274612573339246065979433537735,28.675076064364358
338,4,37.0,2.5,0.23,304667727848180735577934591406248405725,39.410068892239416
339,0,35.0,3.7,0.0,172549847568080349532122330226036542582,33.44821967157165
340,0,35.0,3.5,0.6,303688464955953449483122057917196808694,33.44821967157165
341,0,37.0,3.4,0.63,71224578261667655225737151089080441744,35.76900645844651
342,3,28.0,2.7,-0.59,270310864054062101063796757883258964246,35.966785509708515
343,4,30.0,2.9,-0.99,69011599217527319357249304024492133339,33.728710161580196
344,0,38.0,3.0,0.92,65443461548631194880158693032529628587,38.01995256899238
345,0,33.0,2.7,-0.24,200821958618504406996369484246082885519,30.8928681643817
346,0,47.0,2.9,0.56,21630186467558522909203533776738156194,46.91586436682488
347,0,38.0,2.8,-0.79,6599826821808276294852950567868514528,38.01995256899238
348,7,34.0,2.8,-0.86,234764562740189031770607465823027584454,38.62837283064329
349,1,34.0,3.1,-0.56,295729797364747135136199796813728380642,38.881329546199325
350,0,34.0,3.4,-0.43,86842007512282258171203037835599585730,33.44821967157165
351,3,29.0,2.5,-2.01,82739206349257633991833888594141971368,35.966785509708515
352,0,40.0,3.2,-0.36,57885080858161160639162328743717758623,40.256554053108374
353,0,30.0,2.7,0.06,154262562308518892184158869949120630685,28.675076064364358
354,2,26.0,2.5,-0.5,159398290795496293525347187827908755325,26.54513697826062
355,0,33.0,3.8,1.58,73730467228425887944086745780972818206,30.8928681643817
356,0,36.0,2.3,1.65,281878662165662082161684588705981503650,35.76900645844651
357,0,35.0,2.9,-0.13,282722452734269294764176330387326392932,33.44821967157165
358,0,30.0,2.9,-0.43,100913193538272241369523097431249547339,28.675076064364358
359,0,27.0,2.7,-0.72,213298201277284608711969997552482942729,24.439714201369704
360,0,38.0,3.2,0.63,298877562721932768389525428507781895124,38.01995256899238
361,0,28.5,2.1,-1.88,272016884871362771725265161602045097248,26.536393857324377
